seed,best_fitness,generation,mean_fitness
0,-161.16563415527344,0,-18.567840576171875
0,-161.16563415527344,1,-53.69901657104492
0,-174.62588500976562,2,-89.99394226074219
0,-177.21011352539062,3,-109.70882415771484
0,-186.87399291992188,4,-127.67691040039062
0,-186.87399291992188,5,-139.77890014648438
0,-186.87399291992188,6,-148.19918823242188
0,-188.66836547851562,7,-152.0800018310547
0,-188.66836547851562,8,-156.890380859375
0,-188.66836547851562,9,-158.13787841796875
0,-188.66836547851562,10,-161.0043487548828
0,-188.66836547851562,11,-162.08827209472656
0,-188.66836547851562,12,-161.6918182373047
0,-188.88609313964844,13,-160.58395385742188
0,-188.88609313964844,14,-161.374267578125
0,-188.88609313964844,15,-161.37521362304688
0,-189.83261108398438,16,-161.51358032226562
0,-189.83261108398438,17,-159.95114135742188
0,-189.83261108398438,18,-160.69677734375
0,-189.83261108398438,19,-160.00274658203125
0,-189.83261108398438,20,-158.29220581054688
0,-189.83261108398438,21,-159.06411743164062
0,-189.83261108398438,22,-159.3224334716797
0,-189.83261108398438,23,-159.0463409423828
0,-189.83261108398438,24,-158.8056640625
0,-189.83261108398438,25,-159.26504516601562
0,-189.83261108398438,26,-161.20278930664062
0,-189.83261108398438,27,-159.19288635253906
0,-189.83261108398438,28,-158.35728454589844
0,-189.83261108398438,29,-157.72543334960938
0,-189.83261108398438,30,-160.8615264892578
0,-189.83261108398438,31,-161.3536834716797
0,-189.83261108398438,32,-161.36489868164062
0,-189.83261108398438,33,-162.7091827392578
0,-189.83261108398438,34,-163.51553344726562
0,-189.83261108398438,35,-162.448486328125
0,-189.83261108398438,36,-162.28526306152344
0,-189.83261108398438,37,-163.40914916992188
0,-189.83261108398438,38,-162.68463134765625
0,-189.83261108398438,39,-162.836181640625
0,-189.83261108398438,40,-164.24380493164062
0,-189.83261108398438,41,-163.66900634765625
0,-189.83261108398438,42,-165.3625030517578
0,-189.83261108398438,43,-163.89292907714844
0,-189.83261108398438,44,-161.5770263671875
0,-189.83261108398438,45,-162.80572509765625
0,-189.83261108398438,46,-162.77647399902344
0,-189.83261108398438,47,-159.9658966064453
0,-189.83261108398438,48,-161.83840942382812
0,-189.83261108398438,49,-160.90750122070312
0,-189.83261108398438,50,-161.30902099609375
0,-189.83261108398438,51,-161.478271484375
0,-189.83261108398438,52,-162.5358428955078
0,-189.83261108398438,53,-161.53822326660156
0,-189.83261108398438,54,-160.7858123779297
0,-189.83261108398438,55,-161.63380432128906
0,-189.83261108398438,56,-163.50181579589844
0,-190.0549774169922,57,-163.66339111328125
0,-190.0549774169922,58,-163.04779052734375
0,-191.02894592285156,59,-164.635986328125
0,-191.02894592285156,60,-162.40777587890625
0,-191.02894592285156,61,-162.56971740722656
0,-191.02894592285156,62,-162.3021697998047
0,-191.02894592285156,63,-161.37953186035156
0,-191.02894592285156,64,-160.91456604003906
0,-191.02894592285156,65,-162.80874633789062
0,-191.02894592285156,66,-164.88633728027344
0,-191.02894592285156,67,-164.59234619140625
0,-191.02894592285156,68,-162.45785522460938
0,-191.02894592285156,69,-161.00778198242188
0,-191.02894592285156,70,-163.22531127929688
0,-191.02894592285156,71,-162.1474151611328
0,-191.02894592285156,72,-162.33648681640625
0,-191.02894592285156,73,-160.4738006591797
0,-191.02894592285156,74,-159.98077392578125
0,-191.02894592285156,75,-161.95733642578125
0,-191.02894592285156,76,-162.3296661376953
0,-191.02894592285156,77,-161.26734924316406
0,-191.02894592285156,78,-160.25161743164062
0,-191.02894592285156,79,-160.29307556152344
0,-191.02894592285156,80,-160.0709991455078
