seed,best_fitness,generation,mean_fitness
0,-180.03067016601562,1,-78.79557800292969
0,-182.59181213378906,2,-108.77685546875
0,-182.59181213378906,3,-129.46078491210938
0,-183.41810607910156,4,-146.56309509277344
0,-186.08749389648438,5,-159.23980712890625
0,-187.83006286621094,6,-169.07476806640625
0,-187.89804077148438,7,-176.24032592773438
0,-188.88018798828125,8,-181.1669464111328
0,-193.15939331054688,9,-184.188232421875
0,-193.20201110839844,10,-186.36370849609375
0,-193.20201110839844,11,-187.75656127929688
0,-193.20201110839844,12,-189.0115203857422
0,-193.20201110839844,13,-190.02317810058594
0,-193.20201110839844,14,-190.89784240722656
0,-193.35459899902344,15,-191.59169006347656
0,-193.35459899902344,16,-192.15452575683594
0,-193.41754150390625,17,-192.613037109375
0,-193.52386474609375,18,-192.93760681152344
0,-193.55474853515625,19,-193.14947509765625
0,-193.55474853515625,20,-193.2607421875
0,-193.5860137939453,21,-193.34075927734375
0,-193.70538330078125,22,-193.42135620117188
0,-193.70538330078125,23,-193.470703125
0,-193.7421875,24,-193.5165252685547
0,-193.7421875,25,-193.5664825439453
0,-193.7421875,26,-193.61561584472656
0,-193.76406860351562,27,-193.65963745117188
0,-193.8022918701172,28,-193.69017028808594
0,-193.8022918701172,29,-193.71603393554688
0,-193.80642700195312,30,-193.73487854003906
0,-193.80743408203125,31,-193.7518310546875
0,-193.8127899169922,32,-193.7635040283203
0,-193.82546997070312,33,-193.77792358398438
0,-193.82632446289062,34,-193.7894287109375
0,-193.828857421875,35,-193.79644775390625
0,-193.828857421875,36,-193.80413818359375
0,-193.83702087402344,37,-193.80862426757812
0,-193.84913635253906,38,-193.81784057617188
0,-193.84913635253906,39,-193.8192901611328
0,-193.84913635253906,40,-193.82522583007812
0,-193.84913635253906,41,-193.83016967773438
0,-193.8501434326172,42,-193.83065795898438
0,-193.8507080078125,43,-193.83560180664062
0,-193.8516082763672,44,-193.83987426757812
0,-193.8516082763672,45,-193.84109497070312
0,-193.85214233398438,46,-193.84228515625
0,-193.85227966308594,47,-193.84420776367188
0,-193.85293579101562,48,-193.84542846679688
0,-193.8536834716797,49,-193.84620666503906
0,-193.8536834716797,50,-193.845703125
0,-193.8536834716797,51,-193.84608459472656
0,-193.8544464111328,52,-193.8473358154297
0,-193.8544464111328,53,-193.84739685058594
0,-193.8544464111328,54,-193.8475799560547
0,-193.8544464111328,55,-193.84727478027344
0,-193.85511779785156,56,-193.84947204589844
0,-193.85511779785156,57,-193.8474884033203
0,-193.85516357421875,58,-193.8495330810547
0,-193.85572814941406,59,-193.8487091064453
0,-193.85572814941406,60,-193.848388671875
0,-193.85601806640625,61,-193.85110473632812
0,-193.85601806640625,62,-193.85031127929688
0,-193.85601806640625,63,-193.85061645507812
0,-193.85601806640625,64,-193.8488311767578
0,-193.85601806640625,65,-193.8495635986328
0,-193.85617065429688,66,-193.8479461669922
0,-193.85617065429688,67,-193.85093688964844
0,-193.85618591308594,68,-193.85169982910156
0,-193.85618591308594,69,-193.84962463378906
0,-193.85618591308594,70,-193.85108947753906
0,-193.85618591308594,71,-193.851318359375
0,-193.85635375976562,72,-193.8513946533203
0,-193.85635375976562,73,-193.85003662109375
0,-193.85635375976562,74,-193.85186767578125
