seed,best_fitness,generation,mean_fitness
0,-180.03067016601562,1,-80.99821472167969
0,-182.8294219970703,2,-106.12501525878906
0,-182.8294219970703,3,-128.02679443359375
0,-183.70071411132812,4,-144.86097717285156
0,-184.82626342773438,5,-157.63609313964844
0,-186.81471252441406,6,-168.2721405029297
0,-188.80357360839844,7,-175.85012817382812
0,-189.07765197753906,8,-180.6843719482422
0,-189.07765197753906,9,-183.38233947753906
0,-190.82656860351562,10,-185.4256591796875
0,-191.96401977539062,11,-186.92308044433594
0,-191.96401977539062,12,-188.26007080078125
0,-192.4669189453125,13,-189.3357391357422
0,-192.63577270507812,14,-190.10504150390625
0,-192.63577270507812,15,-190.8280487060547
0,-192.63577270507812,16,-191.427978515625
0,-192.75787353515625,17,-191.8994140625
0,-193.0185089111328,18,-192.19967651367188
0,-193.10365295410156,19,-192.4562225341797
0,-193.12452697753906,20,-192.6112060546875
0,-193.29534912109375,21,-192.7801513671875
0,-193.33970642089844,22,-192.9405059814453
0,-193.3816375732422,23,-193.06521606445312
0,-193.40658569335938,24,-193.15362548828125
0,-193.44142150878906,25,-193.21987915039062
0,-193.47406005859375,26,-193.27569580078125
0,-193.53475952148438,27,-193.33062744140625
0,-193.55531311035156,28,-193.37120056152344
0,-193.6015625,29,-193.41346740722656
0,-193.6504669189453,30,-193.4613037109375
0,-193.6504669189453,31,-193.4945526123047
0,-193.67929077148438,32,-193.5292510986328
0,-193.71084594726562,33,-193.5580596923828
0,-193.71084594726562,34,-193.59194946289062
0,-193.73703002929688,35,-193.61949157714844
0,-193.75762939453125,36,-193.6466827392578
0,-193.7710418701172,37,-193.66932678222656
0,-193.7759246826172,38,-193.69430541992188
0,-193.78762817382812,39,-193.71742248535156
0,-193.78762817382812,40,-193.73501586914062
0,-193.81312561035156,41,-193.75042724609375
0,-193.81861877441406,42,-193.7627716064453
0,-193.83255004882812,43,-193.77305603027344
0,-193.83255004882812,44,-193.78392028808594
0,-193.83255004882812,45,-193.79351806640625
0,-193.83255004882812,46,-193.80108642578125
0,-193.83255004882812,47,-193.80862426757812
0,-193.8404998779297,48,-193.814208984375
0,-193.8404998779297,49,-193.8191680908203
0,-193.84547424316406,50,-193.8240203857422
0,-193.8467559814453,51,-193.8271484375
0,-193.8467559814453,52,-193.8301544189453
0,-193.85060119628906,53,-193.8330841064453
0,-193.85060119628906,54,-193.83387756347656
0,-193.85060119628906,55,-193.8358917236328
0,-193.85060119628906,56,-193.83737182617188
0,-193.852294921875,57,-193.83981323242188
0,-193.852294921875,58,-193.84068298339844
0,-193.852294921875,59,-193.84193420410156
0,-193.852294921875,60,-193.8426055908203
0,-193.852294921875,61,-193.84312438964844
0,-193.8534698486328,62,-193.84378051757812
0,-193.8534698486328,63,-193.84410095214844
0,-193.8534698486328,64,-193.844482421875
0,-193.8534698486328,65,-193.8444366455078
0,-193.8534698486328,66,-193.8444061279297
0,-193.8534698486328,67,-193.84521484375
0,-193.85360717773438,68,-193.84523010253906
0,-193.8553924560547,69,-193.84552001953125
