seed,best_fitness,generation,mean_fitness
0,-180.03067016601562,1,-80.54351806640625
0,-180.03067016601562,2,-104.63753509521484
0,-180.96900939941406,3,-121.66224670410156
0,-180.96900939941406,4,-137.66116333007812
0,-182.2845916748047,5,-151.04327392578125
0,-184.1059112548828,6,-160.62489318847656
0,-185.42291259765625,7,-168.70245361328125
0,-186.63204956054688,8,-176.13218688964844
0,-186.63204956054688,9,-179.9646759033203
0,-187.07859802246094,10,-181.39320373535156
0,-187.4394989013672,11,-182.50831604003906
0,-187.4394989013672,12,-183.92535400390625
0,-188.3264923095703,13,-185.05230712890625
0,-188.3264923095703,14,-185.6824493408203
0,-188.4215087890625,15,-186.26300048828125
0,-188.4843292236328,16,-186.775634765625
0,-188.94921875,17,-187.2676544189453
0,-189.1869354248047,18,-187.68731689453125
0,-189.70223999023438,19,-188.06405639648438
0,-190.10690307617188,20,-188.48545837402344
0,-190.33306884765625,21,-188.7852325439453
0,-190.42974853515625,22,-189.05245971679688
0,-190.48941040039062,23,-189.36859130859375
0,-190.48941040039062,24,-189.67323303222656
0,-190.6427001953125,25,-189.89498901367188
0,-190.8042755126953,26,-190.083984375
0,-190.82496643066406,27,-190.2635955810547
0,-191.46066284179688,28,-190.4159698486328
0,-191.46066284179688,29,-190.542724609375
0,-191.4925079345703,30,-190.66416931152344
0,-191.5911407470703,31,-190.7985076904297
0,-191.71099853515625,32,-190.91514587402344
0,-191.75436401367188,33,-191.0576171875
0,-191.85581970214844,34,-191.1973419189453
0,-191.97735595703125,35,-191.34202575683594
0,-191.97915649414062,36,-191.48587036132812
0,-191.97915649414062,37,-191.59130859375
0,-192.22821044921875,38,-191.7128143310547
0,-192.3416290283203,39,-191.82583618164062
0,-192.3945770263672,40,-191.935546875
0,-192.56729125976562,41,-192.02847290039062
0,-192.64892578125,42,-192.1326446533203
0,-192.8534698486328,43,-192.266357421875
0,-192.8534698486328,44,-192.38645935058594
0,-192.8534698486328,45,-192.4982147216797
