engine,unroll,task,dim,pop_size,num_gens,n_runs,warm_mean,warm_std,warm_min,warm_max,warm_p5,warm_p50,warm_p95,warm_ci_low,warm_ci_high,warm_cv,compile_mean,compile_std
Standard_GA,1,sphere,50,128,200,20,4.102,0.103,3.909,4.280,3.929,4.106,4.275,4.054,4.151,2.52,943.875,44.841
Standard_GA,2,sphere,50,128,200,20,3.596,0.091,3.446,3.844,3.488,3.585,3.741,3.553,3.638,2.54,1714.280,31.534
Standard_GA,4,sphere,50,128,200,20,3.635,0.077,3.359,3.734,3.533,3.652,3.695,3.599,3.671,2.13,3601.127,68.242
Standard_GA,8,sphere,50,128,200,20,3.699,0.065,3.572,3.822,3.596,3.710,3.801,3.669,3.730,1.76,7871.837,114.583
Standard_GA,16,sphere,50,128,200,20,3.935,0.120,3.624,4.157,3.810,3.960,4.078,3.879,3.990,3.04,25926.116,337.057
Standard_GA_Ablation,1,sphere,50,128,200,20,6.391,0.136,6.094,6.579,6.178,6.411,6.572,6.327,6.455,2.13,1541.359,59.188
Standard_GA_Ablation,2,sphere,50,128,200,20,5.309,0.046,5.205,5.367,5.205,5.322,5.355,5.288,5.331,0.86,2664.485,54.164
Standard_GA_Ablation,4,sphere,50,128,200,20,5.294,0.058,5.167,5.403,5.220,5.294,5.381,5.267,5.322,1.09,5117.727,87.881
Standard_GA_Ablation,8,sphere,50,128,200,20,5.294,0.053,5.189,5.421,5.226,5.287,5.358,5.270,5.319,1.00,10867.011,226.726
Standard_GA_Ablation,16,sphere,50,128,200,20,5.669,0.107,5.481,5.931,5.518,5.659,5.821,5.619,5.719,1.88,35450.810,618.222
