seed,best_fitness,generation,mean_fitness
0,-180.03067016601562,1,-80.95411682128906
0,-180.03067016601562,2,-104.21267700195312
0,-180.03067016601562,3,-124.19134521484375
0,-180.80856323242188,4,-142.2327117919922
0,-184.4507293701172,5,-157.15234375
0,-186.23194885253906,6,-167.03216552734375
0,-186.53395080566406,7,-173.1688995361328
0,-189.2479705810547,8,-177.49017333984375
0,-190.5812225341797,9,-181.0108184814453
0,-191.00828552246094,10,-184.2987060546875
0,-191.28770446777344,11,-186.40794372558594
0,-193.24172973632812,12,-187.9939422607422
0,-193.24172973632812,13,-189.3159942626953
0,-193.24172973632812,14,-190.20545959472656
0,-193.24172973632812,15,-190.9542694091797
0,-193.3091583251953,16,-191.60166931152344
0,-193.55755615234375,17,-192.04171752929688
0,-193.55755615234375,18,-192.4398956298828
0,-193.55755615234375,19,-192.7636260986328
0,-193.63023376464844,20,-193.0107421875
0,-193.63023376464844,21,-193.1572265625
0,-193.75698852539062,22,-193.279052734375
0,-193.7645263671875,23,-193.3994903564453
0,-193.7645263671875,24,-193.495361328125
0,-193.78330993652344,25,-193.56683349609375
0,-193.80715942382812,26,-193.61463928222656
0,-193.81121826171875,27,-193.6615447998047
0,-193.81121826171875,28,-193.68423461914062
0,-193.81121826171875,29,-193.71702575683594
0,-193.81680297851562,30,-193.74118041992188
0,-193.8353271484375,31,-193.76206970214844
0,-193.8353271484375,32,-193.7752685546875
0,-193.8353271484375,33,-193.7869873046875
0,-193.8421630859375,34,-193.79910278320312
0,-193.8421630859375,35,-193.80531311035156
0,-193.84381103515625,36,-193.8131561279297
0,-193.85023498535156,37,-193.81800842285156
0,-193.85081481933594,38,-193.826416015625
0,-193.85182189941406,39,-193.8280792236328
0,-193.85182189941406,40,-193.8338623046875
0,-193.85374450683594,41,-193.8377227783203
0,-193.85374450683594,42,-193.835693359375
0,-193.85374450683594,43,-193.84117126464844
0,-193.85374450683594,44,-193.84320068359375
0,-193.8543701171875,45,-193.84475708007812
0,-193.854736328125,46,-193.84535217285156
0,-193.8551483154297,47,-193.84622192382812
0,-193.8551483154297,48,-193.8476104736328
0,-193.8551483154297,49,-193.8485870361328
0,-193.85562133789062,50,-193.8485565185547
0,-193.8557891845703,51,-193.84890747070312
0,-193.85614013671875,52,-193.84921264648438
0,-193.85614013671875,53,-193.85020446777344
0,-193.85614013671875,54,-193.85031127929688
0,-193.85614013671875,55,-193.84933471679688
0,-193.85614013671875,56,-193.8513946533203
0,-193.85614013671875,57,-193.84988403320312
0,-193.85653686523438,58,-193.85134887695312
0,-193.85653686523438,59,-193.85061645507812
0,-193.85653686523438,60,-193.85015869140625
0,-193.8566131591797,61,-193.852294921875
0,-193.8566131591797,62,-193.85177612304688
0,-193.8566131591797,63,-193.85166931152344
0,-193.8566131591797,64,-193.84983825683594
0,-193.8566131591797,65,-193.85040283203125
0,-193.8566131591797,66,-193.8487091064453
0,-193.8566131591797,67,-193.85183715820312
0,-193.8566131591797,68,-193.8524932861328
0,-193.8566131591797,69,-193.85055541992188
0,-193.8566131591797,70,-193.85157775878906
0,-193.85662841796875,71,-193.85186767578125
0,-193.8566436767578,72,-193.85191345214844
0,-193.8566436767578,73,-193.8505401611328
0,-193.85665893554688,74,-193.85226440429688
0,-193.85667419433594,75,-193.8525390625
0,-193.856689453125,76,-193.851318359375
0,-193.856689453125,77,-193.85108947753906
0,-193.856689453125,78,-193.851318359375
0,-193.856689453125,79,-193.85186767578125
0,-193.856689453125,80,-193.85150146484375
0,-193.85670471191406,81,-193.85214233398438
0,-193.85670471191406,82,-193.85179138183594
0,-193.85670471191406,83,-193.85183715820312
0,-193.85670471191406,84,-193.85226440429688
0,-193.85671997070312,85,-193.8514862060547
0,-193.85671997070312,86,-193.85296630859375
0,-193.85671997070312,87,-193.8511505126953
0,-193.85671997070312,88,-193.8528289794922
0,-193.85671997070312,89,-193.85047912597656
0,-193.85671997070312,90,-193.8504638671875
0,-193.85671997070312,91,-193.8513641357422
0,-193.85671997070312,92,-193.85150146484375
0,-193.85671997070312,93,-193.85069274902344
0,-193.85671997070312,94,-193.85186767578125
0,-193.85671997070312,95,-193.8522186279297
0,-193.8567352294922,96,-193.85104370117188
0,-193.8567352294922,97,-193.8523406982422
0,-193.8567352294922,98,-193.8512725830078
0,-193.8567352294922,99,-193.85220336914062
0,-193.8567352294922,100,-193.85159301757812
1,-177.84988403320312,1,-69.74406433105469
1,-177.84988403320312,2,-98.1552505493164
1,-177.84988403320312,3,-120.17921447753906
1,-177.9954071044922,4,-138.94427490234375
1,-177.9954071044922,5,-154.41001892089844
1,-183.29420471191406,6,-164.17495727539062
