seed,best_fitness,generation,mean_fitness
0,-180.03067016601562,1,-81.03614807128906
0,-182.62069702148438,2,-106.66207122802734
0,-182.62069702148438,3,-127.10810089111328
0,-183.2322235107422,4,-143.4185791015625
0,-183.2322235107422,5,-156.5123291015625
0,-185.20277404785156,6,-169.23243713378906
0,-187.8498992919922,7,-176.62342834472656
0,-187.8498992919922,8,-180.3874969482422
0,-188.88748168945312,9,-182.80526733398438
0,-191.3003387451172,10,-184.8669891357422
0,-192.34872436523438,11,-186.28463745117188
0,-192.99737548828125,12,-187.47093200683594
0,-192.99737548828125,13,-188.7429656982422
0,-192.99737548828125,14,-189.70758056640625
0,-192.99737548828125,15,-190.5060272216797
0,-192.99737548828125,16,-191.18917846679688
0,-193.08355712890625,17,-191.87110900878906
0,-193.18272399902344,18,-192.3282012939453
0,-193.21531677246094,19,-192.5946502685547
0,-193.53323364257812,20,-192.76473999023438
0,-193.6060028076172,21,-192.93467712402344
0,-193.62225341796875,22,-193.119140625
0,-193.64004516601562,23,-193.26988220214844
0,-193.6632537841797,24,-193.40325927734375
0,-193.72964477539062,25,-193.4931640625
0,-193.7386474609375,26,-193.55987548828125
0,-193.7386474609375,27,-193.60690307617188
0,-193.79196166992188,28,-193.63902282714844
0,-193.79696655273438,29,-193.66741943359375
0,-193.79940795898438,30,-193.68861389160156
0,-193.80343627929688,31,-193.71360778808594
0,-193.80343627929688,32,-193.73048400878906
0,-193.80563354492188,33,-193.74972534179688
0,-193.81712341308594,34,-193.765625
0,-193.81712341308594,35,-193.7761993408203
0,-193.83795166015625,36,-193.78659057617188
0,-193.83795166015625,37,-193.7952880859375
0,-193.8380889892578,38,-193.8036651611328
0,-193.84524536132812,39,-193.80807495117188
0,-193.8479766845703,40,-193.8166046142578
0,-193.8479766845703,41,-193.82191467285156
0,-193.8479766845703,42,-193.82369995117188
0,-193.84811401367188,43,-193.83030700683594
0,-193.84866333007812,44,-193.83311462402344
0,-193.8533172607422,45,-193.83673095703125
0,-193.8533172607422,46,-193.83929443359375
0,-193.8533172607422,47,-193.84078979492188
0,-193.8546142578125,48,-193.84347534179688
0,-193.8546142578125,49,-193.84523010253906
0,-193.8549346923828,50,-193.84597778320312
0,-193.8549346923828,51,-193.84646606445312
0,-193.8551788330078,52,-193.84706115722656
0,-193.8555145263672,53,-193.84820556640625
0,-193.8555145263672,54,-193.84864807128906
0,-193.8558807373047,55,-193.84811401367188
0,-193.8558807373047,56,-193.85055541992188
0,-193.8558807373047,57,-193.8485565185547
0,-193.8558807373047,58,-193.85079956054688
0,-193.8558807373047,59,-193.8498077392578
0,-193.85604858398438,60,-193.8494415283203
0,-193.85604858398438,61,-193.85177612304688
0,-193.85621643066406,62,-193.8512420654297
0,-193.85621643066406,63,-193.85113525390625
0,-193.85621643066406,64,-193.8495635986328
0,-193.85621643066406,65,-193.8498992919922
0,-193.85621643066406,66,-193.84820556640625
0,-193.85621643066406,67,-193.8512420654297
0,-193.85621643066406,68,-193.85186767578125
0,-193.8563690185547,69,-193.8499298095703
0,-193.85643005371094,70,-193.85113525390625
0,-193.85655212402344,71,-193.8513641357422
0,-193.85655212402344,72,-193.8515167236328
0,-193.85655212402344,73,-193.850341796875
0,-193.85655212402344,74,-193.85206604003906
0,-193.85659790039062,75,-193.8524932861328
0,-193.85659790039062,76,-193.85101318359375
0,-193.8566131591797,77,-193.85086059570312
0,-193.8566131591797,78,-193.85121154785156
0,-193.8566131591797,79,-193.85183715820312
0,-193.85662841796875,80,-193.85130310058594
0,-193.85665893554688,81,-193.85206604003906
0,-193.85667419433594,82,-193.8516387939453
0,-193.85667419433594,83,-193.8517608642578
0,-193.85667419433594,84,-193.85218811035156
0,-193.85667419433594,85,-193.8513946533203
0,-193.856689453125,86,-193.85296630859375
0,-193.856689453125,87,-193.85104370117188
0,-193.856689453125,88,-193.85276794433594
0,-193.856689453125,89,-193.8504180908203
0,-193.85670471191406,90,-193.8504638671875
0,-193.85670471191406,91,-193.851318359375
0,-193.85670471191406,92,-193.8514404296875
0,-193.85670471191406,93,-193.85073852539062
0,-193.85670471191406,94,-193.85183715820312
0,-193.85670471191406,95,-193.85218811035156
0,-193.85670471191406,96,-193.85101318359375
0,-193.85670471191406,97,-193.8523406982422
0,-193.85671997070312,98,-193.85121154785156
0,-193.85671997070312,99,-193.85214233398438
0,-193.85671997070312,100,-193.85159301757812
1,-177.84988403320312,1,-70.84233093261719
1,-177.84988403320312,2,-99.58350372314453
1,-177.84988403320312,3,-122.47003936767578
1,-186.71246337890625,4,-137.50059509277344
1,-186.71246337890625,5,-151.0683135986328
1,-186.71246337890625,6,-161.60821533203125
1,-188.02301025390625,7,-170.22161865234375
1,-188.27003479003906,8,-176.075439453125
1,-189.3824005126953,9,-180.28121948242188
1,-190.8214874267578,10,-183.1039276123047
1,-191.03225708007812,11,-185.4063262939453
1,-191.9423065185547,12,-187.30792236328125
1,-191.9474639892578,13,-188.6932373046875
1,-192.25332641601562,14,-189.82582092285156
1,-193.0626220703125,15,-190.63526916503906
1,-193.29879760742188,16,-191.2469482421875
1,-193.37588500976562,17,-191.85067749023438
1,-193.37588500976562,18,-192.33705139160156
1,-193.48179626464844,19,-192.75103759765625
1,-193.56973266601562,20,-193.0349578857422
1,-193.65313720703125,21,-193.18243408203125
1,-193.65313720703125,22,-193.2860107421875
1,-193.6928253173828,23,-193.37648010253906
1,-193.70477294921875,24,-193.4642333984375
1,-193.7764434814453,25,-193.5399932861328
1,-193.81053161621094,26,-193.60232543945312
1,-193.81053161621094,27,-193.65660095214844
1,-193.8181610107422,28,-193.6902313232422
1,-193.8181610107422,29,-193.72171020507812
1,-193.8181610107422,30,-193.74661254882812
1,-193.83140563964844,31,-193.76988220214844
1,-193.83140563964844,32,-193.786865234375
1,-193.8401336669922,33,-193.79383850097656
1,-193.84535217285156,34,-193.80645751953125
1,-193.84535217285156,35,-193.81149291992188
1,-193.84535217285156,36,-193.81622314453125
1,-193.84552001953125,37,-193.82296752929688
1,-193.8460693359375,38,-193.82752990722656
1,-193.84786987304688,39,-193.83226013183594
1,-193.84921264648438,40,-193.83555603027344
1,-193.85008239746094,41,-193.8357391357422
1,-193.85008239746094,42,-193.83824157714844
1,-193.8503875732422,43,-193.8414764404297
1,-193.85226440429688,44,-193.8415985107422
1,-193.85226440429688,45,-193.8427276611328
1,-193.8529052734375,46,-193.8439483642578
1,-193.8538360595703,47,-193.84527587890625
1,-193.8538360595703,48,-193.84518432617188
1,-193.85569763183594,49,-193.84788513183594
1,-193.85569763183594,50,-193.84713745117188
1,-193.85569763183594,51,-193.84500122070312
