seed,best_fitness,generation,mean_fitness
0,-180.03067016601562,1,-79.77674865722656
0,-182.41921997070312,2,-107.37923431396484
0,-182.41921997070312,3,-127.79646301269531
0,-182.41921997070312,4,-142.5625
0,-184.79470825195312,5,-152.66273498535156
0,-186.97816467285156,6,-163.11993408203125
0,-186.97816467285156,7,-171.3242950439453
0,-186.97816467285156,8,-175.95318603515625
0,-191.16824340820312,9,-180.23529052734375
0,-191.16824340820312,10,-182.98101806640625
0,-192.20697021484375,11,-185.5263214111328
0,-192.20697021484375,12,-187.0568389892578
0,-192.20697021484375,13,-188.0158233642578
0,-192.47467041015625,14,-189.27549743652344
0,-192.81422424316406,15,-190.04214477539062
0,-193.01747131347656,16,-190.79275512695312
0,-193.15965270996094,17,-191.4315643310547
0,-193.4913787841797,18,-191.9970245361328
0,-193.54908752441406,19,-192.40757751464844
0,-193.54908752441406,20,-192.76638793945312
0,-193.55581665039062,21,-193.0231170654297
0,-193.6566925048828,22,-193.2079315185547
0,-193.67636108398438,23,-193.34579467773438
0,-193.7857666015625,24,-193.45472717285156
0,-193.7857666015625,25,-193.53565979003906
0,-193.7857666015625,26,-193.59718322753906
0,-193.7857666015625,27,-193.6366424560547
0,-193.80029296875,28,-193.66940307617188
0,-193.80029296875,29,-193.7045440673828
0,-193.82568359375,30,-193.73089599609375
0,-193.82568359375,31,-193.7557830810547
0,-193.8341827392578,32,-193.77203369140625
0,-193.8341827392578,33,-193.78268432617188
0,-193.8341827392578,34,-193.7930450439453
0,-193.8341827392578,35,-193.79808044433594
0,-193.83895874023438,36,-193.80462646484375
0,-193.84674072265625,37,-193.81182861328125
0,-193.84674072265625,38,-193.81837463378906
0,-193.84866333007812,39,-193.82394409179688
0,-193.84906005859375,40,-193.82427978515625
0,-193.84906005859375,41,-193.8299102783203
0,-193.85263061523438,42,-193.8328857421875
0,-193.85263061523438,43,-193.8354034423828
0,-193.85516357421875,44,-193.83901977539062
0,-193.85516357421875,45,-193.84027099609375
0,-193.85516357421875,46,-193.8437042236328
0,-193.85516357421875,47,-193.84214782714844
0,-193.85516357421875,48,-193.84500122070312
0,-193.85531616210938,49,-193.8455810546875
0,-193.85531616210938,50,-193.8457794189453
0,-193.85531616210938,51,-193.8439483642578
0,-193.85531616210938,52,-193.8479766845703
0,-193.85540771484375,53,-193.8475341796875
0,-193.85574340820312,54,-193.84779357910156
0,-193.85574340820312,55,-193.8489990234375
0,-193.8558807373047,56,-193.8494415283203
0,-193.85595703125,57,-193.85031127929688
0,-193.85614013671875,58,-193.84878540039062
0,-193.85629272460938,59,-193.85011291503906
0,-193.85655212402344,60,-193.8513946533203
0,-193.85655212402344,61,-193.85128784179688
0,-193.85655212402344,62,-193.8500213623047
0,-193.85655212402344,63,-193.85150146484375
0,-193.85655212402344,64,-193.85206604003906
0,-193.85655212402344,65,-193.8505096435547
0,-193.85655212402344,66,-193.85150146484375
0,-193.85655212402344,67,-193.85165405273438
0,-193.85659790039062,68,-193.8517608642578
0,-193.85659790039062,69,-193.8514404296875
0,-193.85659790039062,70,-193.8519287109375
0,-193.85659790039062,71,-193.8504638671875
0,-193.85662841796875,72,-193.85198974609375
0,-193.85662841796875,73,-193.85104370117188
0,-193.8566436767578,74,-193.8527374267578
0,-193.8566436767578,75,-193.85040283203125
0,-193.8566436767578,76,-193.85012817382812
0,-193.8566436767578,77,-193.8517303466797
0,-193.85665893554688,78,-193.8515167236328
0,-193.85667419433594,79,-193.8515625
0,-193.856689453125,80,-193.85052490234375
0,-193.856689453125,81,-193.8514404296875
0,-193.856689453125,82,-193.85108947753906
0,-193.85670471191406,83,-193.84988403320312
0,-193.85670471191406,84,-193.8504638671875
0,-193.85670471191406,85,-193.8531036376953
0,-193.85670471191406,86,-193.85191345214844
0,-193.85670471191406,87,-193.8509979248047
0,-193.85670471191406,88,-193.8512725830078
0,-193.85671997070312,89,-193.85166931152344
0,-193.85671997070312,90,-193.8511505126953
0,-193.85671997070312,91,-193.85186767578125
0,-193.85671997070312,92,-193.8512420654297
0,-193.85671997070312,93,-193.85260009765625
0,-193.85671997070312,94,-193.8509063720703
0,-193.85671997070312,95,-193.8525390625
0,-193.85671997070312,96,-193.85093688964844
0,-193.85671997070312,97,-193.8525390625
0,-193.85671997070312,98,-193.85157775878906
0,-193.8567352294922,99,-193.85128784179688
0,-193.8567352294922,100,-193.85191345214844
1,-177.84988403320312,1,-69.50353240966797
1,-177.84988403320312,2,-95.82435607910156
1,-177.84988403320312,3,-116.50907897949219
1,-180.14425659179688,4,-130.85475158691406
1,-181.31549072265625,5,-144.88772583007812
1,-184.74920654296875,6,-156.42457580566406
1,-187.20648193359375,7,-166.1288604736328
1,-188.63241577148438,8,-173.908203125
1,-191.12794494628906,9,-178.63726806640625
1,-191.12794494628906,10,-182.72830200195312
1,-191.4378662109375,11,-184.89671325683594
1,-191.70228576660156,12,-186.49717712402344
1,-192.2631072998047,13,-187.51473999023438
1,-192.2631072998047,14,-188.79367065429688
1,-192.94418334960938,15,-189.9318389892578
1,-193.2436981201172,16,-190.75784301757812
1,-193.384521484375,17,-191.5121612548828
1,-193.42083740234375,18,-191.89964294433594
1,-193.45460510253906,19,-192.3100128173828
1,-193.45460510253906,20,-192.6178436279297
1,-193.50057983398438,21,-192.8904571533203
1,-193.62757873535156,22,-193.08847045898438
1,-193.76290893554688,23,-193.2510528564453
1,-193.76290893554688,24,-193.3896484375
1,-193.76290893554688,25,-193.45880126953125
1,-193.76290893554688,26,-193.51425170898438
1,-193.78587341308594,27,-193.58624267578125
1,-193.78587341308594,28,-193.6390838623047
1,-193.79649353027344,29,-193.68882751464844
1,-193.79649353027344,30,-193.72007751464844
1,-193.8178253173828,31,-193.7421112060547
1,-193.82034301757812,32,-193.75511169433594
1,-193.8400115966797,33,-193.7684326171875
1,-193.8400115966797,34,-193.78103637695312
1,-193.84259033203125,35,-193.7908477783203
1,-193.84259033203125,36,-193.79620361328125
1,-193.84259033203125,37,-193.8065185546875
1,-193.8448028564453,38,-193.8131561279297
1,-193.8448028564453,39,-193.8163604736328
1,-193.84751892089844,40,-193.82223510742188
1,-193.84751892089844,41,-193.82687377929688
1,-193.84945678710938,42,-193.82968139648438
1,-193.8533935546875,43,-193.83425903320312
1,-193.8533935546875,44,-193.8356170654297
1,-193.8541259765625,45,-193.83714294433594
1,-193.85462951660156,46,-193.83889770507812
1,-193.85462951660156,47,-193.8406982421875
1,-193.85462951660156,48,-193.8420867919922
1,-193.85462951660156,49,-193.844482421875
1,-193.85499572753906,50,-193.84605407714844
1,-193.85499572753906,51,-193.8470001220703
1,-193.85499572753906,52,-193.8469696044922
1,-193.85604858398438,53,-193.8474884033203
1,-193.85604858398438,54,-193.849365234375
1,-193.85604858398438,55,-193.8496856689453
1,-193.85604858398438,56,-193.8483428955078
1,-193.85604858398438,57,-193.8494415283203
1,-193.85604858398438,58,-193.85006713867188
1,-193.85604858398438,59,-193.8504638671875
1,-193.85604858398438,60,-193.84999084472656
1,-193.85630798339844,61,-193.8509521484375
1,-193.85630798339844,62,-193.85011291503906
1,-193.85643005371094,63,-193.85096740722656
1,-193.85643005371094,64,-193.85121154785156
1,-193.85643005371094,65,-193.85023498535156
1,-193.85643005371094,66,-193.85159301757812
1,-193.85643005371094,67,-193.85150146484375
1,-193.85655212402344,68,-193.851318359375
1,-193.8566131591797,69,-193.8509063720703
1,-193.8566131591797,70,-193.85055541992188
1,-193.8566131591797,71,-193.85214233398438
1,-193.8566131591797,72,-193.85110473632812
1,-193.8566131591797,73,-193.84976196289062
1,-193.8566131591797,74,-193.85110473632812
1,-193.8566131591797,75,-193.8504180908203
1,-193.8566131591797,76,-193.850341796875
1,-193.8566131591797,77,-193.8515625
1,-193.8566131591797,78,-193.85264587402344
1,-193.8566436767578,79,-193.8505401611328
1,-193.85665893554688,80,-193.851806640625
1,-193.85665893554688,81,-193.85264587402344
1,-193.85665893554688,82,-193.85186767578125
1,-193.85667419433594,83,-193.85122680664062
1,-193.85667419433594,84,-193.8527374267578
1,-193.856689453125,85,-193.85179138183594
1,-193.85670471191406,86,-193.85264587402344
1,-193.85670471191406,87,-193.85276794433594
1,-193.85670471191406,88,-193.85302734375
1,-193.85671997070312,89,-193.85186767578125
1,-193.85671997070312,90,-193.8517303466797
1,-193.85671997070312,91,-193.8505859375
1,-193.85671997070312,92,-193.85260009765625
1,-193.85671997070312,93,-193.85179138183594
1,-193.85671997070312,94,-193.85101318359375
1,-193.85671997070312,95,-193.8529052734375
1,-193.85671997070312,96,-193.852294921875
1,-193.85671997070312,97,-193.85153198242188
1,-193.85671997070312,98,-193.8510284423828
1,-193.85671997070312,99,-193.85289001464844
1,-193.85671997070312,100,-193.8515167236328
2,-169.38296508789062,1,-76.5582275390625
2,-172.56617736816406,2,-106.14157104492188
2,-175.39581298828125,3,-130.52072143554688
2,-179.52676391601562,4,-146.69712829589844
2,-185.1094970703125,5,-158.7794647216797
2,-187.3679656982422,6,-166.94418334960938
2,-187.3679656982422,7,-172.84652709960938
2,-189.21597290039062,8,-176.54188537597656
2,-189.21597290039062,9,-179.75680541992188
2,-191.40977478027344,10,-182.5330047607422
2,-191.65042114257812,11,-185.2633514404297
2,-191.65042114257812,12,-187.3997344970703
2,-192.1200408935547,13,-188.54981994628906
2,-192.4544219970703,14,-189.5445098876953
2,-192.9449920654297,15,-190.36553955078125
2,-193.11001586914062,16,-191.1214599609375
2,-193.22677612304688,17,-191.66770935058594
2,-193.25726318359375,18,-192.0782012939453
2,-193.61746215820312,19,-192.44276428222656
2,-193.70245361328125,20,-192.75376892089844
2,-193.70245361328125,21,-192.97373962402344
2,-193.70245361328125,22,-193.13079833984375
2,-193.70245361328125,23,-193.265625
2,-193.70245361328125,24,-193.35987854003906
2,-193.70883178710938,25,-193.4481201171875
2,-193.77284240722656,26,-193.52745056152344
2,-193.81431579589844,27,-193.59683227539062
2,-193.84478759765625,28,-193.65164184570312
2,-193.84478759765625,29,-193.70159912109375
2,-193.84478759765625,30,-193.7305450439453
2,-193.84478759765625,31,-193.7548370361328
2,-193.84478759765625,32,-193.7726593017578
2,-193.84478759765625,33,-193.78775024414062
2,-193.84478759765625,34,-193.8004608154297
2,-193.84478759765625,35,-193.80918884277344
2,-193.84478759765625,36,-193.8152313232422
2,-193.84478759765625,37,-193.8206024169922
2,-193.8492431640625,38,-193.82687377929688
2,-193.8492431640625,39,-193.8309783935547
2,-193.8492431640625,40,-193.8322296142578
2,-193.8518524169922,41,-193.83482360839844
2,-193.8533477783203,42,-193.8369903564453
2,-193.8533477783203,43,-193.8396453857422
2,-193.85414123535156,44,-193.84034729003906
2,-193.85414123535156,45,-193.84225463867188
2,-193.85504150390625,46,-193.8425750732422
2,-193.85504150390625,47,-193.84385681152344
2,-193.85504150390625,48,-193.8458709716797
2,-193.8551788330078,49,-193.84597778320312
2,-193.8555908203125,50,-193.84710693359375
2,-193.8555908203125,51,-193.84669494628906
2,-193.8555908203125,52,-193.8472442626953
2,-193.8555908203125,53,-193.84716796875
2,-193.85614013671875,54,-193.85006713867188
2,-193.85614013671875,55,-193.84957885742188
2,-193.85614013671875,56,-193.84976196289062
2,-193.85614013671875,57,-193.8515625
2,-193.85614013671875,58,-193.849609375
2,-193.85614013671875,59,-193.85089111328125
2,-193.85623168945312,60,-193.85093688964844
2,-193.85623168945312,61,-193.85044860839844
2,-193.85646057128906,62,-193.85108947753906
2,-193.85646057128906,63,-193.8515167236328
2,-193.85646057128906,64,-193.8502655029297
2,-193.85646057128906,65,-193.85096740722656
2,-193.85646057128906,66,-193.8521270751953
2,-193.85650634765625,67,-193.8517608642578
2,-193.8565673828125,68,-193.8505401611328
2,-193.85659790039062,69,-193.85214233398438
2,-193.85659790039062,70,-193.84913635253906
2,-193.85659790039062,71,-193.8503875732422
2,-193.85665893554688,72,-193.84996032714844
2,-193.85665893554688,73,-193.84962463378906
2,-193.85665893554688,74,-193.85267639160156
2,-193.85665893554688,75,-193.8519287109375
2,-193.85665893554688,76,-193.8519744873047
2,-193.85665893554688,77,-193.85214233398438
2,-193.85667419433594,78,-193.85205078125
2,-193.85667419433594,79,-193.8515625
2,-193.85667419433594,80,-193.85308837890625
2,-193.85667419433594,81,-193.85206604003906
2,-193.856689453125,82,-193.85121154785156
2,-193.85670471191406,83,-193.85202026367188
2,-193.85670471191406,84,-193.8526153564453
2,-193.85670471191406,85,-193.8524169921875
2,-193.85671997070312,86,-193.85299682617188
2,-193.85671997070312,87,-193.85214233398438
2,-193.85671997070312,88,-193.85073852539062
2,-193.85671997070312,89,-193.85166931152344
2,-193.85671997070312,90,-193.85218811035156
2,-193.85671997070312,91,-193.85264587402344
2,-193.85671997070312,92,-193.85206604003906
2,-193.85671997070312,93,-193.85311889648438
2,-193.85671997070312,94,-193.85260009765625
2,-193.85671997070312,95,-193.8505401611328
2,-193.8567352294922,96,-193.8502655029297
2,-193.8567352294922,97,-193.8513946533203
2,-193.8567352294922,98,-193.85171508789062
2,-193.8567352294922,99,-193.8524627685547
2,-193.8567352294922,100,-193.85226440429688
3,-171.5316925048828,1,-77.39547729492188
3,-171.5316925048828,2,-106.80025482177734
3,-178.05972290039062,3,-125.83721160888672
3,-180.2289276123047,4,-141.70086669921875
3,-180.2289276123047,5,-153.10354614257812
3,-186.26670837402344,6,-163.29905700683594
3,-186.26670837402344,7,-170.40960693359375
3,-187.12164306640625,8,-175.89334106445312
3,-190.46739196777344,9,-179.39308166503906
3,-191.6894073486328,10,-182.3573760986328
3,-191.6894073486328,11,-184.7352752685547
3,-191.6894073486328,12,-186.45909118652344
3,-191.6894073486328,13,-188.1337127685547
3,-192.15272521972656,14,-189.25634765625
3,-192.73812866210938,15,-190.28656005859375
3,-192.73812866210938,16,-190.9031982421875
3,-193.35775756835938,17,-191.4586639404297
3,-193.35775756835938,18,-191.925537109375
3,-193.49725341796875,19,-192.34774780273438
3,-193.49725341796875,20,-192.6478271484375
3,-193.585693359375,21,-192.89651489257812
3,-193.64344787597656,22,-193.10745239257812
3,-193.65684509277344,23,-193.26690673828125
3,-193.70376586914062,24,-193.38165283203125
3,-193.70376586914062,25,-193.47296142578125
3,-193.7858428955078,26,-193.55398559570312
3,-193.7858428955078,27,-193.60682678222656
3,-193.7858428955078,28,-193.6536865234375
3,-193.8022918701172,29,-193.68386840820312
3,-193.8022918701172,30,-193.71197509765625
3,-193.81077575683594,31,-193.73147583007812
3,-193.81503295898438,32,-193.7480010986328
3,-193.83224487304688,33,-193.76612854003906
3,-193.83876037597656,34,-193.78001403808594
3,-193.83876037597656,35,-193.79066467285156
3,-193.83876037597656,36,-193.79888916015625
3,-193.84658813476562,37,-193.80552673339844
3,-193.84815979003906,38,-193.81402587890625
3,-193.84815979003906,39,-193.81954956054688
3,-193.84852600097656,40,-193.82717895507812
3,-193.84986877441406,41,-193.82855224609375
3,-193.8500518798828,42,-193.83160400390625
3,-193.8500518798828,43,-193.836669921875
3,-193.85272216796875,44,-193.83750915527344
3,-193.8531494140625,45,-193.839599609375
3,-193.85369873046875,46,-193.8418731689453
3,-193.85398864746094,47,-193.84402465820312
3,-193.85464477539062,48,-193.8456573486328
3,-193.85496520996094,49,-193.84437561035156
3,-193.85511779785156,50,-193.8454132080078
3,-193.85594177246094,51,-193.8474884033203
3,-193.85594177246094,52,-193.84918212890625
3,-193.85594177246094,53,-193.84759521484375
3,-193.85598754882812,54,-193.8474578857422
3,-193.85598754882812,55,-193.84815979003906
3,-193.85618591308594,56,-193.84857177734375
3,-193.85618591308594,57,-193.8485107421875
3,-193.85618591308594,58,-193.85096740722656
3,-193.8563232421875,59,-193.8504638671875
3,-193.85635375976562,60,-193.8504180908203
3,-193.85635375976562,61,-193.85162353515625
3,-193.85643005371094,62,-193.85186767578125
3,-193.8564453125,63,-193.85096740722656
3,-193.8564453125,64,-193.8496856689453
3,-193.85647583007812,65,-193.85162353515625
3,-193.85650634765625,66,-193.85166931152344
3,-193.85655212402344,67,-193.85153198242188
3,-193.85655212402344,68,-193.85107421875
3,-193.8566131591797,69,-193.85093688964844
3,-193.8566131591797,70,-193.8514404296875
3,-193.8566131591797,71,-193.8521270751953
3,-193.85667419433594,72,-193.85104370117188
3,-193.85667419433594,73,-193.85134887695312
3,-193.85667419433594,74,-193.85153198242188
3,-193.85667419433594,75,-193.8505859375
3,-193.85667419433594,76,-193.85110473632812
3,-193.856689453125,77,-193.8505859375
3,-193.856689453125,78,-193.85086059570312
3,-193.856689453125,79,-193.85060119628906
3,-193.856689453125,80,-193.85194396972656
3,-193.856689453125,81,-193.8526153564453
