seed,best_fitness,generation,mean_fitness
0,-180.03067016601562,1,-77.93601989746094
0,-180.03067016601562,2,-102.89149475097656
0,-181.9437713623047,3,-122.50987243652344
0,-181.9437713623047,4,-136.59844970703125
0,-181.9437713623047,5,-150.34088134765625
0,-182.32632446289062,6,-159.48489379882812
0,-184.3300323486328,7,-168.21673583984375
0,-187.3729705810547,8,-175.0389404296875
0,-190.128173828125,9,-179.56312561035156
0,-190.128173828125,10,-182.1787872314453
0,-190.6572723388672,11,-184.32632446289062
0,-191.2269744873047,12,-186.47213745117188
0,-191.2949981689453,13,-187.9918670654297
0,-192.56834411621094,14,-189.33595275878906
0,-192.56834411621094,15,-190.0514373779297
0,-193.04437255859375,16,-190.80282592773438
0,-193.04437255859375,17,-191.46514892578125
0,-193.14663696289062,18,-191.978515625
0,-193.22740173339844,19,-192.34628295898438
0,-193.38833618164062,20,-192.6017608642578
0,-193.4334716796875,21,-192.78182983398438
0,-193.45079040527344,22,-192.95855712890625
0,-193.50970458984375,23,-193.1189727783203
0,-193.5613250732422,24,-193.2499237060547
0,-193.65672302246094,25,-193.3351593017578
0,-193.65672302246094,26,-193.4020233154297
0,-193.7296142578125,27,-193.45611572265625
0,-193.7296142578125,28,-193.5201873779297
0,-193.7296142578125,29,-193.57620239257812
0,-193.78892517089844,30,-193.62562561035156
0,-193.78892517089844,31,-193.6603546142578
0,-193.79371643066406,32,-193.69058227539062
0,-193.80929565429688,33,-193.7172393798828
0,-193.83065795898438,34,-193.7393341064453
0,-193.84153747558594,35,-193.76280212402344
0,-193.8494873046875,36,-193.7819366455078
0,-193.8494873046875,37,-193.79739379882812
0,-193.85110473632812,38,-193.8080596923828
0,-193.85110473632812,39,-193.8174591064453
0,-193.85110473632812,40,-193.82354736328125
0,-193.8513946533203,41,-193.83316040039062
0,-193.85247802734375,42,-193.83499145507812
0,-193.85247802734375,43,-193.8396759033203
0,-193.85430908203125,44,-193.83984375
0,-193.85430908203125,45,-193.842529296875
0,-193.85430908203125,46,-193.84190368652344
0,-193.8549346923828,47,-193.84600830078125
0,-193.85504150390625,48,-193.84674072265625
0,-193.8551025390625,49,-193.84716796875
0,-193.8551788330078,50,-193.8466339111328
0,-193.85523986816406,51,-193.84732055664062
0,-193.855712890625,52,-193.8496856689453
0,-193.855712890625,53,-193.8496856689453
0,-193.855712890625,54,-193.84963989257812
0,-193.85598754882812,55,-193.849609375
0,-193.85610961914062,56,-193.850341796875
0,-193.85610961914062,57,-193.8504638671875
0,-193.85610961914062,58,-193.8499755859375
0,-193.85617065429688,59,-193.85067749023438
0,-193.85633850097656,60,-193.85165405273438
0,-193.85633850097656,61,-193.85093688964844
0,-193.8563690185547,62,-193.85130310058594
0,-193.85646057128906,63,-193.85003662109375
0,-193.85646057128906,64,-193.85040283203125
