seed,best_fitness,generation,mean_fitness
0,-180.03067016601562,1,-80.14763641357422
0,-180.03067016601562,2,-104.67253875732422
0,-180.03067016601562,3,-124.35833740234375
0,-180.30311584472656,4,-140.1131591796875
0,-184.1434783935547,5,-153.65960693359375
0,-184.1434783935547,6,-162.6337127685547
0,-184.1434783935547,7,-170.15109252929688
0,-184.1434783935547,8,-175.31167602539062
0,-184.90074157714844,9,-178.83656311035156
0,-188.54629516601562,10,-181.22296142578125
0,-188.54629516601562,11,-182.68270874023438
0,-189.34713745117188,12,-184.1473846435547
0,-190.31483459472656,13,-185.52499389648438
0,-191.85069274902344,14,-186.87457275390625
0,-192.30801391601562,15,-187.92295837402344
0,-192.30801391601562,16,-188.93893432617188
0,-192.68382263183594,17,-189.834716796875
0,-192.68382263183594,18,-190.5856475830078
0,-192.7691192626953,19,-191.1862030029297
0,-193.11575317382812,20,-191.6857452392578
0,-193.11575317382812,21,-192.03970336914062
0,-193.29232788085938,22,-192.28173828125
0,-193.425048828125,23,-192.5245819091797
0,-193.4739990234375,24,-192.7609405517578
0,-193.5096893310547,25,-192.93772888183594
0,-193.51417541503906,26,-193.091552734375
0,-193.51417541503906,27,-193.20452880859375
0,-193.51417541503906,28,-193.28884887695312
0,-193.58316040039062,29,-193.36936950683594
0,-193.7188720703125,30,-193.42819213867188
0,-193.7188720703125,31,-193.47140502929688
0,-193.7188720703125,32,-193.508544921875
0,-193.7188720703125,33,-193.5437469482422
0,-193.72740173339844,34,-193.58203125
0,-193.75015258789062,35,-193.615966796875
0,-193.75015258789062,36,-193.6461639404297
0,-193.7906494140625,37,-193.6737060546875
0,-193.7906494140625,38,-193.69699096679688
0,-193.8142852783203,39,-193.71929931640625
0,-193.8142852783203,40,-193.73873901367188
0,-193.8142852783203,41,-193.7539825439453
0,-193.8216094970703,42,-193.76380920410156
0,-193.8294219970703,43,-193.7801513671875
0,-193.8350830078125,44,-193.78990173339844
0,-193.84194946289062,45,-193.79942321777344
0,-193.8441619873047,46,-193.80722045898438
0,-193.84799194335938,47,-193.8153533935547
0,-193.84799194335938,48,-193.8209991455078
0,-193.84799194335938,49,-193.8268280029297
0,-193.8485565185547,50,-193.8285675048828
0,-193.84921264648438,51,-193.8325958251953
0,-193.8502197265625,52,-193.83602905273438
0,-193.85150146484375,53,-193.83889770507812
0,-193.85232543945312,54,-193.8407440185547
0,-193.8542938232422,55,-193.84249877929688
0,-193.8542938232422,56,-193.84420776367188
0,-193.8542938232422,57,-193.8426513671875
0,-193.8542938232422,58,-193.84291076660156
0,-193.8542938232422,59,-193.8439178466797
0,-193.8542938232422,60,-193.84605407714844
0,-193.8544158935547,61,-193.847900390625
0,-193.85488891601562,62,-193.8475799560547
0,-193.8551483154297,63,-193.84869384765625
0,-193.8555450439453,64,-193.84869384765625
0,-193.8555450439453,65,-193.84835815429688
0,-193.8555450439453,66,-193.84800720214844
0,-193.8555450439453,67,-193.85093688964844
0,-193.8555450439453,68,-193.85009765625
0,-193.85572814941406,69,-193.8502655029297
0,-193.85572814941406,70,-193.84974670410156
0,-193.85592651367188,71,-193.85011291503906
0,-193.85592651367188,72,-193.84909057617188
0,-193.85592651367188,73,-193.8499755859375
0,-193.85592651367188,74,-193.84996032714844
0,-193.85592651367188,75,-193.8499298095703
0,-193.85592651367188,76,-193.85023498535156
0,-193.85609436035156,77,-193.8513946533203
0,-193.85609436035156,78,-193.85166931152344
0,-193.8561248779297,79,-193.85037231445312
0,-193.85617065429688,80,-193.84890747070312
0,-193.85617065429688,81,-193.85198974609375
0,-193.85617065429688,82,-193.8513641357422
0,-193.85623168945312,83,-193.8513641357422
0,-193.8563232421875,84,-193.85061645507812
0,-193.8563995361328,85,-193.85205078125
0,-193.8563995361328,86,-193.85108947753906
0,-193.8563995361328,87,-193.85009765625
0,-193.8563995361328,88,-193.85064697265625
0,-193.8564453125,89,-193.84913635253906
0,-193.8564453125,90,-193.85142517089844
0,-193.85658264160156,91,-193.8521270751953
0,-193.85658264160156,92,-193.85130310058594
0,-193.85658264160156,93,-193.84971618652344
0,-193.85658264160156,94,-193.85064697265625
0,-193.85665893554688,95,-193.85116577148438
0,-193.85665893554688,96,-193.85003662109375
0,-193.85665893554688,97,-193.85348510742188
0,-193.85665893554688,98,-193.85227966308594
0,-193.856689453125,99,-193.85226440429688
0,-193.856689453125,100,-193.8523712158203
1,-177.84988403320312,1,-68.8796157836914
1,-177.84988403320312,2,-101.43896484375
1,-180.49171447753906,3,-124.34075927734375
1,-181.73423767089844,4,-140.67063903808594
1,-185.6116485595703,5,-151.97314453125
1,-185.6116485595703,6,-163.45639038085938
1,-187.70628356933594,7,-170.7326202392578
1,-190.1830596923828,8,-175.7547607421875
1,-190.3585205078125,9,-179.820068359375
1,-191.27781677246094,10,-183.41358947753906
1,-191.27781677246094,11,-185.89588928222656
1,-191.98524475097656,12,-187.6010284423828
1,-191.98524475097656,13,-189.1633758544922
1,-192.4515380859375,14,-190.19058227539062
1,-193.0091094970703,15,-190.8961944580078
1,-193.0091094970703,16,-191.4503631591797
1,-193.0091094970703,17,-191.9552764892578
1,-193.22540283203125,18,-192.27842712402344
1,-193.22540283203125,19,-192.51625061035156
1,-193.28367614746094,20,-192.6991424560547
1,-193.29946899414062,21,-192.8688507080078
1,-193.33546447753906,22,-192.9885711669922
1,-193.4929656982422,23,-193.0879669189453
1,-193.4929656982422,24,-193.16989135742188
1,-193.6893310546875,25,-193.25347900390625
1,-193.6893310546875,26,-193.3258514404297
1,-193.6893310546875,27,-193.39495849609375
1,-193.6893310546875,28,-193.45269775390625
1,-193.6895751953125,29,-193.50396728515625
1,-193.747802734375,30,-193.55322265625
1,-193.78582763671875,31,-193.6105194091797
1,-193.78662109375,32,-193.6549530029297
1,-193.78662109375,33,-193.68507385253906
1,-193.8097686767578,34,-193.7133331298828
1,-193.8102569580078,35,-193.73370361328125
1,-193.81488037109375,36,-193.7520294189453
1,-193.8282012939453,37,-193.7636260986328
1,-193.8282012939453,38,-193.77883911132812
1,-193.83322143554688,39,-193.78982543945312
1,-193.83322143554688,40,-193.80088806152344
1,-193.843017578125,41,-193.8092498779297
1,-193.84756469726562,42,-193.81692504882812
1,-193.84756469726562,43,-193.8221893310547
1,-193.84756469726562,44,-193.826416015625
1,-193.8489532470703,45,-193.8291778564453
1,-193.8522186279297,46,-193.83541870117188
1,-193.8522186279297,47,-193.83726501464844
1,-193.8538818359375,48,-193.8381805419922
1,-193.8538818359375,49,-193.84332275390625
1,-193.8538818359375,50,-193.84335327148438
1,-193.8538818359375,51,-193.8453826904297
1,-193.8538818359375,52,-193.84371948242188
1,-193.85501098632812,53,-193.84640502929688
1,-193.85501098632812,54,-193.84713745117188
1,-193.85501098632812,55,-193.8484649658203
1,-193.8551025390625,56,-193.84901428222656
1,-193.85525512695312,57,-193.84803771972656
1,-193.85525512695312,58,-193.8479461669922
1,-193.85533142089844,59,-193.84817504882812
1,-193.85533142089844,60,-193.8485870361328
1,-193.85533142089844,61,-193.84852600097656
1,-193.85545349121094,62,-193.85037231445312
1,-193.8558349609375,63,-193.85101318359375
1,-193.8558349609375,64,-193.849853515625
1,-193.8558349609375,65,-193.849609375
1,-193.8558349609375,66,-193.8512420654297
1,-193.8558349609375,67,-193.8496856689453
1,-193.8560028076172,68,-193.85061645507812
1,-193.85614013671875,69,-193.85018920898438
1,-193.85614013671875,70,-193.85211181640625
1,-193.85614013671875,71,-193.8502960205078
1,-193.8562469482422,72,-193.851318359375
1,-193.85626220703125,73,-193.85093688964844
1,-193.85633850097656,74,-193.85060119628906
1,-193.85635375976562,75,-193.850830078125
1,-193.85635375976562,76,-193.8509979248047
1,-193.8565673828125,77,-193.85113525390625
1,-193.85659790039062,78,-193.8494110107422
1,-193.85659790039062,79,-193.85171508789062
1,-193.85659790039062,80,-193.85101318359375
1,-193.85659790039062,81,-193.8515625
1,-193.8566131591797,82,-193.85191345214844
1,-193.8566131591797,83,-193.8507843017578
1,-193.8566436767578,84,-193.8515167236328
1,-193.8566436767578,85,-193.8526153564453
1,-193.8566436767578,86,-193.85202026367188
1,-193.8566436767578,87,-193.85256958007812
1,-193.8566436767578,88,-193.8515625
1,-193.85665893554688,89,-193.85171508789062
1,-193.85665893554688,90,-193.8524932861328
1,-193.85665893554688,91,-193.85299682617188
1,-193.85667419433594,92,-193.85304260253906
1,-193.85667419433594,93,-193.85009765625
1,-193.85667419433594,94,-193.85171508789062
1,-193.85667419433594,95,-193.8508758544922
1,-193.856689453125,96,-193.85191345214844
1,-193.856689453125,97,-193.85264587402344
1,-193.856689453125,98,-193.85194396972656
1,-193.856689453125,99,-193.85179138183594
1,-193.856689453125,100,-193.85179138183594
2,-163.3466033935547,1,-71.91004943847656
2,-181.02792358398438,2,-100.06330871582031
2,-181.02792358398438,3,-122.89840698242188
2,-181.96290588378906,4,-141.00314331054688
2,-187.71383666992188,5,-154.38584899902344
2,-187.71383666992188,6,-165.1426544189453
2,-187.71383666992188,7,-171.23878479003906
2,-187.71383666992188,8,-175.81784057617188
2,-189.4588623046875,9,-179.70315551757812
2,-189.6617431640625,10,-182.3638458251953
2,-190.93466186523438,11,-184.52137756347656
2,-191.63531494140625,12,-186.53204345703125
2,-192.02395629882812,13,-188.1218719482422
2,-192.02395629882812,14,-189.26632690429688
2,-192.4601593017578,15,-190.2507781982422
2,-192.70895385742188,16,-190.85304260253906
2,-193.03269958496094,17,-191.42852783203125
2,-193.33135986328125,18,-191.90817260742188
2,-193.38827514648438,19,-192.28167724609375
2,-193.3932342529297,20,-192.58164978027344
2,-193.3932342529297,21,-192.82577514648438
2,-193.50401306152344,22,-193.00390625
2,-193.50401306152344,23,-193.130859375
2,-193.5652618408203,24,-193.23780822753906
2,-193.63218688964844,25,-193.3321075439453
2,-193.64697265625,26,-193.41769409179688
2,-193.670166015625,27,-193.4772186279297
2,-193.7357635498047,28,-193.53741455078125
2,-193.7357635498047,29,-193.5867919921875
2,-193.7357635498047,30,-193.62542724609375
2,-193.8038330078125,31,-193.65760803222656
2,-193.8038330078125,32,-193.68341064453125
2,-193.8038330078125,33,-193.7091827392578
2,-193.81304931640625,34,-193.7308349609375
2,-193.81304931640625,35,-193.75001525878906
2,-193.81381225585938,36,-193.76657104492188
2,-193.82373046875,37,-193.7793731689453
2,-193.831787109375,38,-193.7902374267578
2,-193.8384246826172,39,-193.7977294921875
2,-193.84190368652344,40,-193.80679321289062
2,-193.8439178466797,41,-193.81507873535156
2,-193.84588623046875,42,-193.81976318359375
2,-193.84654235839844,43,-193.82583618164062
2,-193.84996032714844,44,-193.8282928466797
2,-193.850341796875,45,-193.83230590820312
2,-193.85198974609375,46,-193.8367156982422
2,-193.85386657714844,47,-193.84039306640625
2,-193.85386657714844,48,-193.84085083007812
2,-193.85386657714844,49,-193.84332275390625
2,-193.8548126220703,50,-193.84500122070312
2,-193.8548126220703,51,-193.846923828125
2,-193.85496520996094,52,-193.84671020507812
2,-193.8550262451172,53,-193.84901428222656
2,-193.8550262451172,54,-193.8483123779297
2,-193.8551025390625,55,-193.8484649658203
2,-193.8551025390625,56,-193.84857177734375
2,-193.8558807373047,57,-193.84912109375
2,-193.8558807373047,58,-193.84962463378906
2,-193.85595703125,59,-193.8503875732422
2,-193.85595703125,60,-193.84971618652344
2,-193.85606384277344,61,-193.8494873046875
2,-193.85606384277344,62,-193.85025024414062
2,-193.85606384277344,63,-193.85089111328125
2,-193.85606384277344,64,-193.8500518798828
2,-193.85614013671875,65,-193.85037231445312
2,-193.85618591308594,66,-193.85015869140625
2,-193.85618591308594,67,-193.8496856689453
2,-193.85618591308594,68,-193.84950256347656
2,-193.85618591308594,69,-193.8504638671875
2,-193.85618591308594,70,-193.85067749023438
2,-193.8563232421875,71,-193.84974670410156
2,-193.8563232421875,72,-193.85069274902344
2,-193.85638427734375,73,-193.84970092773438
2,-193.8564453125,74,-193.85122680664062
2,-193.8564453125,75,-193.8515167236328
2,-193.85646057128906,76,-193.8504638671875
2,-193.85646057128906,77,-193.8513946533203
2,-193.8564910888672,78,-193.85047912597656
2,-193.8564910888672,79,-193.8512420654297
2,-193.8564910888672,80,-193.85130310058594
2,-193.8564910888672,81,-193.85179138183594
2,-193.85655212402344,82,-193.8508758544922
2,-193.85655212402344,83,-193.85289001464844
2,-193.85655212402344,84,-193.8515625
2,-193.85655212402344,85,-193.85137939453125
2,-193.85662841796875,86,-193.8505859375
2,-193.85662841796875,87,-193.85269165039062
2,-193.85662841796875,88,-193.8509063720703
2,-193.85662841796875,89,-193.85179138183594
2,-193.85662841796875,90,-193.85214233398438
2,-193.85665893554688,91,-193.85302734375
2,-193.85665893554688,92,-193.85159301757812
2,-193.85665893554688,93,-193.85289001464844
2,-193.85665893554688,94,-193.85165405273438
2,-193.85665893554688,95,-193.85226440429688
2,-193.85665893554688,96,-193.8513641357422
