seed,best_fitness,generation,mean_fitness
0,-180.03067016601562,1,-79.8553237915039
0,-180.03067016601562,2,-102.27738189697266
0,-180.03067016601562,3,-121.96925354003906
0,-180.03067016601562,4,-136.70826721191406
0,-180.03067016601562,5,-149.28025817871094
0,-183.3414764404297,6,-158.95101928710938
0,-188.10215759277344,7,-167.3942108154297
0,-189.05453491210938,8,-173.30404663085938
0,-189.05453491210938,9,-177.67620849609375
0,-190.1200408935547,10,-181.50160217285156
0,-190.1200408935547,11,-183.73141479492188
0,-190.67239379882812,12,-185.3411407470703
0,-190.67239379882812,13,-186.96324157714844
0,-192.67127990722656,14,-188.33663940429688
0,-192.67127990722656,15,-189.2738037109375
0,-193.2327880859375,16,-190.18508911132812
0,-193.2327880859375,17,-190.8883514404297
0,-193.2327880859375,18,-191.3905487060547
0,-193.27090454101562,19,-191.7682342529297
0,-193.33314514160156,20,-192.10325622558594
0,-193.33314514160156,21,-192.35255432128906
0,-193.5711669921875,22,-192.5276336669922
0,-193.69171142578125,23,-192.74234008789062
0,-193.69171142578125,24,-192.91246032714844
0,-193.69171142578125,25,-192.92808532714844
0,-193.69171142578125,26,-193.1688995361328
0,-193.71510314941406,27,-193.2955780029297
0,-193.71510314941406,28,-193.33644104003906
0,-193.75765991210938,29,-193.3535919189453
0,-193.7733612060547,30,-193.3827362060547
0,-193.7733612060547,31,-193.4685516357422
0,-193.7733612060547,32,-193.4066619873047
0,-193.79913330078125,33,-193.4550323486328
0,-193.79913330078125,34,-193.5314178466797
0,-193.80764770507812,35,-193.49905395507812
0,-193.81182861328125,36,-193.56028747558594
0,-193.81182861328125,37,-193.6219482421875
0,-193.81182861328125,38,-193.56085205078125
0,-193.81182861328125,39,-193.59410095214844
0,-193.8211669921875,40,-193.6476287841797
0,-193.8268280029297,41,-193.603271484375
0,-193.8268280029297,42,-193.59335327148438
0,-193.831298828125,43,-193.60671997070312
0,-193.831298828125,44,-193.6554718017578
0,-193.8387451171875,45,-193.60745239257812
0,-193.8387451171875,46,-193.59584045410156
0,-193.8387451171875,47,-193.58616638183594
0,-193.84178161621094,48,-193.66018676757812
0,-193.84178161621094,49,-193.7068328857422
0,-193.84251403808594,50,-193.62271118164062
0,-193.84251403808594,51,-193.626953125
0,-193.84304809570312,52,-193.60394287109375
0,-193.8440399169922,53,-193.60870361328125
0,-193.8440399169922,54,-193.64300537109375
0,-193.8440399169922,55,-193.6727294921875
0,-193.84622192382812,56,-193.66221618652344
0,-193.84622192382812,57,-193.5851287841797
0,-193.84695434570312,58,-193.5529327392578
0,-193.84793090820312,59,-193.5629119873047
0,-193.84793090820312,60,-193.65542602539062
0,-193.84869384765625,61,-193.70510864257812
0,-193.84869384765625,62,-193.665283203125
0,-193.84986877441406,63,-193.6893310546875
0,-193.84986877441406,64,-193.66197204589844
0,-193.85086059570312,65,-193.63186645507812
0,-193.85086059570312,66,-193.6005859375
0,-193.85086059570312,67,-193.739013671875
0,-193.85098266601562,68,-193.70069885253906
0,-193.85098266601562,69,-193.70327758789062
