Algorithm,Task,Dim,Pop_Size,Generations,hyperparam_mutation_rate,hyperparam_sigma,hyperparam_elite_ratio,hyperparam_crossover_rate,Mean_Fitness,Fitness_Std,Mean_GPS,Compile_Time,Mean_Exec_Time
Standard_GA,sphere,50,128,200,0.1,0.3,0.05,0.6,268.5392700195313,39.0743562616177,15429.682161033847,1.1428920540056424,0.012962029801565222
Standard_GA,sphere,50,128,200,0.1,0.3,0.1,0.6,268.5392700195313,39.0743562616177,15603.265874242312,0.9880754670011811,0.012817829396226443
Standard_GA,sphere,50,128,200,0.1,0.5,0.05,0.6,268.5392700195313,39.0743562616177,15458.18348749103,1.0622172770090401,0.012938130807015114
Standard_GA,sphere,50,128,200,0.1,0.5,0.1,0.6,268.5392700195313,39.0743562616177,15315.333530804875,0.9840474920056295,0.013058807997731492
Standard_GA,sphere,50,128,200,0.1,0.8,0.05,0.6,268.5392700195313,39.0743562616177,15341.620371666822,1.0576431389927166,0.013036432603257708
Standard_GA,sphere,50,128,200,0.1,0.8,0.1,0.6,268.5392700195313,39.0743562616177,16102.327595633698,0.9853828499908559,0.012420564593048767
Standard_GA,sphere,50,128,200,0.3,0.3,0.05,0.6,268.5392700195313,39.0743562616177,15253.527036796984,1.0285140019987011,0.013111721604946069
Standard_GA,sphere,50,128,200,0.3,0.3,0.1,0.6,268.5392700195313,39.0743562616177,15429.39885749097,0.9745834880013717,0.012962267801049166
Standard_GA,sphere,50,128,200,0.3,0.5,0.05,0.6,268.5392700195313,39.0743562616177,15349.272854088429,1.0504807100078324,0.013029933202778921
Standard_GA,sphere,50,128,200,0.3,0.5,0.1,0.6,268.5392700195313,39.0743562616177,15253.826959834945,0.9809491420019185,0.013111463800305501
