run_id,engine,unroll,task,dim,pop_size,num_gens,cold_ms,warm_ms,compile_ms,ms_per_step
0,Standard_GA,4,sphere,50,128,200,3746.994,3.778,3743.216,0.0189
1,Standard_GA,4,sphere,50,128,200,3634.305,3.690,3630.615,0.0184
2,Standard_GA,4,sphere,50,128,200,3709.694,3.751,3705.943,0.0188
3,Standard_GA,4,sphere,50,128,200,3610.268,3.822,3606.446,0.0191
4,Standard_GA,4,sphere,50,128,200,3733.054,3.830,3729.224,0.0192
5,Standard_GA,4,sphere,50,128,200,3621.038,3.707,3617.331,0.0185
6,Standard_GA,4,sphere,50,128,200,3591.209,3.651,3587.558,0.0183
7,Standard_GA,4,sphere,50,128,200,3483.346,3.692,3479.654,0.0185
8,Standard_GA,4,sphere,50,128,200,3612.303,3.673,3608.630,0.0184
9,Standard_GA,4,sphere,50,128,200,3682.004,3.648,3678.356,0.0182
0,Standard_GA_Ablation,4,sphere,50,128,200,5233.552,5.237,5228.314,0.0262
1,Standard_GA_Ablation,4,sphere,50,128,200,5248.612,5.350,5243.262,0.0268
2,Standard_GA_Ablation,4,sphere,50,128,200,5308.985,5.343,5303.641,0.0267
3,Standard_GA_Ablation,4,sphere,50,128,200,5310.611,5.339,5305.272,0.0267
4,Standard_GA_Ablation,4,sphere,50,128,200,5298.248,5.343,5292.906,0.0267
5,Standard_GA_Ablation,4,sphere,50,128,200,5220.084,5.147,5214.937,0.0257
6,Standard_GA_Ablation,4,sphere,50,128,200,5225.770,5.241,5220.529,0.0262
7,Standard_GA_Ablation,4,sphere,50,128,200,5344.550,5.350,5339.201,0.0267
8,Standard_GA_Ablation,4,sphere,50,128,200,5344.642,5.416,5339.225,0.0271
9,Standard_GA_Ablation,4,sphere,50,128,200,5389.155,5.318,5383.837,0.0266
