run_id,engine,unroll,task,dim,pop_size,num_gens,cold_ms,warm_ms,compile_ms,ms_per_step
0,Standard_GA,4,sphere,50,512,200,3926.740,4.598,3922.143,0.0230
1,Standard_GA,4,sphere,50,512,200,3779.513,4.692,3774.821,0.0235
2,Standard_GA,4,sphere,50,512,200,3807.361,4.673,3802.688,0.0234
3,Standard_GA,4,sphere,50,512,200,4037.728,4.579,4033.149,0.0229
4,Standard_GA,4,sphere,50,512,200,3962.514,4.811,3957.703,0.0241
5,Standard_GA,4,sphere,50,512,200,3836.633,4.705,3831.928,0.0235
6,Standard_GA,4,sphere,50,512,200,3822.724,4.409,3818.316,0.0220
7,Standard_GA,4,sphere,50,512,200,3755.248,4.676,3750.572,0.0234
8,Standard_GA,4,sphere,50,512,200,3852.648,4.627,3848.022,0.0231
9,Standard_GA,4,sphere,50,512,200,3899.222,4.686,3894.536,0.0234
10,Standard_GA,4,sphere,50,512,200,3920.565,4.675,3915.890,0.0234
11,Standard_GA,4,sphere,50,512,200,3752.270,4.622,3747.647,0.0231
12,Standard_GA,4,sphere,50,512,200,3799.034,4.653,3794.381,0.0233
13,Standard_GA,4,sphere,50,512,200,3905.527,4.716,3900.811,0.0236
14,Standard_GA,4,sphere,50,512,200,3779.863,4.607,3775.257,0.0230
15,Standard_GA,4,sphere,50,512,200,3836.172,4.626,3831.546,0.0231
16,Standard_GA,4,sphere,50,512,200,3788.500,4.723,3783.777,0.0236
17,Standard_GA,4,sphere,50,512,200,3829.144,4.800,3824.344,0.0240
18,Standard_GA,4,sphere,50,512,200,3857.787,4.684,3853.102,0.0234
19,Standard_GA,4,sphere,50,512,200,3840.773,4.706,3836.067,0.0235
0,Standard_GA_Ablation,4,sphere,50,512,200,5232.440,5.984,5226.456,0.0299
1,Standard_GA_Ablation,4,sphere,50,512,200,5426.356,6.258,5420.098,0.0313
2,Standard_GA_Ablation,4,sphere,50,512,200,5408.938,6.005,5402.933,0.0300
3,Standard_GA_Ablation,4,sphere,50,512,200,5411.849,5.964,5405.885,0.0298
4,Standard_GA_Ablation,4,sphere,50,512,200,5568.096,6.100,5561.995,0.0305
5,Standard_GA_Ablation,4,sphere,50,512,200,5401.670,5.980,5395.691,0.0299
6,Standard_GA_Ablation,4,sphere,50,512,200,5304.009,6.005,5298.003,0.0300
7,Standard_GA_Ablation,4,sphere,50,512,200,5371.985,6.060,5365.926,0.0303
8,Standard_GA_Ablation,4,sphere,50,512,200,5353.754,6.108,5347.646,0.0305
9,Standard_GA_Ablation,4,sphere,50,512,200,5343.114,6.041,5337.073,0.0302
10,Standard_GA_Ablation,4,sphere,50,512,200,5331.837,6.151,5325.686,0.0308
11,Standard_GA_Ablation,4,sphere,50,512,200,5405.197,6.009,5399.188,0.0300
12,Standard_GA_Ablation,4,sphere,50,512,200,5417.531,6.003,5411.528,0.0300
13,Standard_GA_Ablation,4,sphere,50,512,200,5367.349,5.998,5361.351,0.0300
14,Standard_GA_Ablation,4,sphere,50,512,200,5432.912,5.989,5426.923,0.0299
15,Standard_GA_Ablation,4,sphere,50,512,200,5353.579,6.077,5347.502,0.0304
16,Standard_GA_Ablation,4,sphere,50,512,200,5441.605,6.024,5435.582,0.0301
17,Standard_GA_Ablation,4,sphere,50,512,200,5547.309,6.124,5541.185,0.0306
18,Standard_GA_Ablation,4,sphere,50,512,200,5388.766,6.079,5382.687,0.0304
19,Standard_GA_Ablation,4,sphere,50,512,200,5339.797,6.243,5333.554,0.0312
