run_id,engine,unroll,task,dim,pop_size,num_gens,cold_ms,warm_ms,compile_ms,ms_per_step
0,Standard_GA,1,sphere,50,128,200,961.699,4.274,957.425,0.0214
1,Standard_GA,1,sphere,50,128,200,913.016,3.930,909.086,0.0197
2,Standard_GA,1,sphere,50,128,200,951.543,4.228,947.315,0.0211
3,Standard_GA,1,sphere,50,128,200,1078.135,4.024,1074.110,0.0201
4,Standard_GA,1,sphere,50,128,200,962.397,3.909,958.488,0.0195
5,Standard_GA,1,sphere,50,128,200,937.248,4.046,933.202,0.0202
6,Standard_GA,1,sphere,50,128,200,923.092,4.000,919.092,0.0200
7,Standard_GA,1,sphere,50,128,200,930.385,4.023,926.362,0.0201
8,Standard_GA,1,sphere,50,128,200,1030.232,4.221,1026.010,0.0211
9,Standard_GA,1,sphere,50,128,200,929.275,4.135,925.140,0.0207
10,Standard_GA,1,sphere,50,128,200,923.276,4.143,919.133,0.0207
11,Standard_GA,1,sphere,50,128,200,924.824,4.130,920.694,0.0207
12,Standard_GA,1,sphere,50,128,200,934.280,4.113,930.168,0.0206
13,Standard_GA,1,sphere,50,128,200,1009.176,4.049,1005.127,0.0202
14,Standard_GA,1,sphere,50,128,200,941.904,4.066,937.838,0.0203
15,Standard_GA,1,sphere,50,128,200,951.128,4.167,946.961,0.0208
16,Standard_GA,1,sphere,50,128,200,931.135,4.099,927.036,0.0205
17,Standard_GA,1,sphere,50,128,200,906.039,4.040,901.998,0.0202
18,Standard_GA,1,sphere,50,128,200,883.180,4.163,879.018,0.0208
19,Standard_GA,1,sphere,50,128,200,937.572,4.280,933.292,0.0214
0,Standard_GA,2,sphere,50,128,200,1637.273,3.582,1633.691,0.0179
1,Standard_GA,2,sphere,50,128,200,1747.840,3.575,1744.264,0.0179
2,Standard_GA,2,sphere,50,128,200,1719.476,3.681,1715.795,0.0184
3,Standard_GA,2,sphere,50,128,200,1734.188,3.530,1730.658,0.0176
4,Standard_GA,2,sphere,50,128,200,1711.921,3.497,1708.424,0.0175
5,Standard_GA,2,sphere,50,128,200,1680.845,3.585,1677.261,0.0179
6,Standard_GA,2,sphere,50,128,200,1702.217,3.564,1698.653,0.0178
7,Standard_GA,2,sphere,50,128,200,1726.444,3.590,1722.854,0.0179
8,Standard_GA,2,sphere,50,128,200,1727.090,3.525,1723.565,0.0176
9,Standard_GA,2,sphere,50,128,200,1682.511,3.540,1678.971,0.0177
10,Standard_GA,2,sphere,50,128,200,1699.833,3.736,1696.097,0.0187
11,Standard_GA,2,sphere,50,128,200,1744.808,3.591,1741.218,0.0180
12,Standard_GA,2,sphere,50,128,200,1765.478,3.490,1761.988,0.0175
13,Standard_GA,2,sphere,50,128,200,1730.074,3.589,1726.485,0.0179
14,Standard_GA,2,sphere,50,128,200,1724.929,3.623,1721.305,0.0181
15,Standard_GA,2,sphere,50,128,200,1686.315,3.662,1682.653,0.0183
16,Standard_GA,2,sphere,50,128,200,1756.246,3.446,1752.800,0.0172
17,Standard_GA,2,sphere,50,128,200,1724.189,3.676,1720.513,0.0184
18,Standard_GA,2,sphere,50,128,200,1696.773,3.586,1693.187,0.0179
19,Standard_GA,2,sphere,50,128,200,1759.060,3.844,1755.215,0.0192
0,Standard_GA,4,sphere,50,128,200,3658.221,3.657,3654.564,0.0183
1,Standard_GA,4,sphere,50,128,200,3494.379,3.648,3490.731,0.0182
2,Standard_GA,4,sphere,50,128,200,3551.789,3.624,3548.165,0.0181
3,Standard_GA,4,sphere,50,128,200,3659.098,3.652,3655.446,0.0183
4,Standard_GA,4,sphere,50,128,200,3595.156,3.637,3591.519,0.0182
5,Standard_GA,4,sphere,50,128,200,3548.233,3.587,3544.645,0.0179
6,Standard_GA,4,sphere,50,128,200,3689.926,3.734,3686.192,0.0187
7,Standard_GA,4,sphere,50,128,200,3694.781,3.673,3691.108,0.0184
8,Standard_GA,4,sphere,50,128,200,3614.028,3.359,3610.669,0.0168
9,Standard_GA,4,sphere,50,128,200,3668.623,3.543,3665.080,0.0177
10,Standard_GA,4,sphere,50,128,200,3583.827,3.657,3580.170,0.0183
11,Standard_GA,4,sphere,50,128,200,3705.356,3.688,3701.668,0.0184
12,Standard_GA,4,sphere,50,128,200,3567.859,3.651,3564.208,0.0183
13,Standard_GA,4,sphere,50,128,200,3476.262,3.636,3472.626,0.0182
14,Standard_GA,4,sphere,50,128,200,3645.610,3.690,3641.920,0.0184
15,Standard_GA,4,sphere,50,128,200,3633.227,3.668,3629.559,0.0183
16,Standard_GA,4,sphere,50,128,200,3604.582,3.633,3600.949,0.0182
17,Standard_GA,4,sphere,50,128,200,3604.950,3.674,3601.277,0.0184
18,Standard_GA,4,sphere,50,128,200,3486.692,3.595,3483.097,0.0180
19,Standard_GA,4,sphere,50,128,200,3612.647,3.693,3608.954,0.0185
0,Standard_GA,8,sphere,50,128,200,7939.985,3.800,7936.185,0.0190
1,Standard_GA,8,sphere,50,128,200,8013.461,3.644,8009.817,0.0182
2,Standard_GA,8,sphere,50,128,200,7949.836,3.692,7946.144,0.0185
3,Standard_GA,8,sphere,50,128,200,7971.113,3.822,7967.291,0.0191
4,Standard_GA,8,sphere,50,128,200,8008.602,3.655,8004.947,0.0183
5,Standard_GA,8,sphere,50,128,200,7918.822,3.721,7915.102,0.0186
6,Standard_GA,8,sphere,50,128,200,7962.199,3.656,7958.543,0.0183
7,Standard_GA,8,sphere,50,128,200,7760.782,3.660,7757.122,0.0183
8,Standard_GA,8,sphere,50,128,200,7805.352,3.728,7801.625,0.0186
