seed,best_fitness,generation,mean_fitness,std_fitness
42,165.90826416015625,1,80.95136260986328,0.0
42,165.90826416015625,2,115.53023529052734,0.0
42,168.76995849609375,3,144.15142822265625,0.0
42,180.5157928466797,4,155.67294311523438,0.0
42,185.24154663085938,5,163.4715118408203,0.0
42,185.24154663085938,6,174.5619659423828,0.0
42,187.57708740234375,7,177.73300170898438,0.0
42,189.7023468017578,8,181.4626922607422,0.0
42,191.0824737548828,9,183.56849670410156,0.0
42,191.0824737548828,10,186.0545196533203,0.0
