seed,best_fitness,generation,mean_fitness
0,-161.16561889648438,0,-18.567840576171875
0,-161.16561889648438,1,-53.69901657104492
0,-174.62588500976562,2,-89.99394989013672
0,-177.21011352539062,3,-109.70881652832031
0,-186.87399291992188,4,-127.67691040039062
0,-186.87399291992188,5,-139.77890014648438
0,-186.87399291992188,6,-148.19918823242188
0,-188.66836547851562,7,-152.08001708984375
0,-188.66836547851562,8,-156.89036560058594
0,-188.66836547851562,9,-158.1378936767578
0,-188.66836547851562,10,-161.0043487548828
0,-188.66836547851562,11,-162.08827209472656
0,-188.66836547851562,12,-161.6918182373047
0,-188.88609313964844,13,-160.58395385742188
0,-188.88609313964844,14,-161.374267578125
0,-188.88609313964844,15,-161.37521362304688
0,-189.83262634277344,16,-161.51356506347656
0,-189.83262634277344,17,-159.95115661621094
0,-189.83262634277344,18,-160.69677734375
0,-189.83262634277344,19,-160.00274658203125
0,-189.83262634277344,20,-158.29220581054688
0,-189.83262634277344,21,-159.0641326904297
0,-189.83262634277344,22,-159.32244873046875
0,-189.83262634277344,23,-159.04635620117188
0,-189.83262634277344,24,-158.8056640625
0,-189.83262634277344,25,-159.26502990722656
0,-189.83262634277344,26,-161.20278930664062
0,-189.83262634277344,27,-159.19290161132812
0,-189.83262634277344,28,-158.35726928710938
0,-189.83262634277344,29,-157.72544860839844
0,-189.83262634277344,30,-160.8615264892578
0,-189.83262634277344,31,-161.3536834716797
0,-189.83262634277344,32,-161.5827178955078
0,-189.83262634277344,33,-162.6309814453125
0,-189.83262634277344,34,-161.69639587402344
0,-189.83262634277344,35,-161.77999877929688
0,-189.83262634277344,36,-160.843017578125
0,-189.83262634277344,37,-161.5702362060547
0,-189.83262634277344,38,-161.017578125
0,-189.83262634277344,39,-162.486572265625
0,-189.83262634277344,40,-162.13461303710938
0,-189.83262634277344,41,-163.8115234375
0,-189.83262634277344,42,-164.28700256347656
0,-189.83262634277344,43,-164.0000762939453
0,-189.83262634277344,44,-165.29840087890625
0,-189.83262634277344,45,-165.78509521484375
0,-189.83262634277344,46,-165.0980682373047
0,-189.83262634277344,47,-164.2671661376953
0,-189.83262634277344,48,-164.31385803222656
0,-190.36746215820312,49,-164.24981689453125
0,-190.36746215820312,50,-164.2106475830078
0,-190.36746215820312,51,-163.70118713378906
0,-190.36746215820312,52,-163.86399841308594
0,-190.36746215820312,53,-162.9921875
0,-190.36746215820312,54,-161.8245391845703
0,-190.36746215820312,55,-160.34817504882812
0,-190.36746215820312,56,-160.36788940429688
0,-190.36746215820312,57,-162.71405029296875
0,-190.36746215820312,58,-160.71798706054688
0,-190.36746215820312,59,-162.85841369628906
0,-190.36746215820312,60,-162.08946228027344
0,-190.36746215820312,61,-160.76052856445312
0,-190.36746215820312,62,-161.62356567382812
0,-190.36746215820312,63,-161.71018981933594
0,-190.36746215820312,64,-162.0334014892578
0,-190.36746215820312,65,-162.13096618652344
0,-190.36746215820312,66,-161.7517547607422
0,-190.36746215820312,67,-160.7714385986328
0,-190.36746215820312,68,-160.22499084472656
0,-190.36746215820312,69,-162.689208984375
0,-190.36746215820312,70,-164.2474822998047
0,-190.36746215820312,71,-164.37527465820312
0,-190.36746215820312,72,-165.39999389648438
0,-190.36746215820312,73,-164.66368103027344
0,-190.36746215820312,74,-161.12696838378906
0,-190.36746215820312,75,-162.48486328125
0,-190.36746215820312,76,-163.67176818847656
0,-190.36746215820312,77,-164.7249755859375
0,-190.36746215820312,78,-165.12435913085938
0,-190.36746215820312,79,-165.3570098876953
0,-190.36746215820312,80,-163.51939392089844
0,-190.36746215820312,81,-162.3557586669922
0,-190.36746215820312,82,-161.38894653320312
0,-190.36746215820312,83,-161.08154296875
0,-190.36746215820312,84,-161.4583282470703
0,-190.7893524169922,85,-160.59046936035156
0,-190.7893524169922,86,-160.55111694335938
0,-190.7893524169922,87,-160.50790405273438
0,-190.7893524169922,88,-163.26119995117188
0,-190.7893524169922,89,-162.4630889892578
0,-190.7893524169922,90,-161.18637084960938
0,-190.7893524169922,91,-161.70530700683594
0,-190.7893524169922,92,-163.3154296875
0,-190.7893524169922,93,-162.4967041015625
0,-190.7893524169922,94,-162.58689880371094
0,-190.7893524169922,95,-161.82618713378906
0,-190.7893524169922,96,-160.70367431640625
0,-190.7893524169922,97,-161.1436309814453
0,-190.7893524169922,98,-160.59307861328125
0,-190.7893524169922,99,-160.5109405517578
1,-130.54942321777344,0,-22.20359230041504
1,-170.03944396972656,1,-60.72407913208008
1,-182.56695556640625,2,-87.01773071289062
1,-182.56695556640625,3,-103.21056365966797
1,-182.56695556640625,4,-121.8378677368164
1,-182.56695556640625,5,-133.11183166503906
1,-182.88380432128906,6,-137.5608673095703
1,-182.88380432128906,7,-138.70709228515625
1,-184.72914123535156,8,-144.61485290527344
1,-184.72914123535156,9,-149.6529541015625
1,-187.78152465820312,10,-153.02891540527344
1,-187.78152465820312,11,-155.21328735351562
1,-188.02883911132812,12,-156.4887237548828
1,-188.02883911132812,13,-159.94615173339844
1,-189.20582580566406,14,-160.32760620117188
1,-189.20582580566406,15,-160.375732421875
1,-189.20582580566406,16,-159.30966186523438
1,-189.20582580566406,17,-158.69581604003906
1,-189.20582580566406,18,-161.30838012695312
1,-189.20582580566406,19,-162.13070678710938
1,-189.20582580566406,20,-161.59176635742188
1,-189.20582580566406,21,-162.69354248046875
1,-189.20582580566406,22,-163.03456115722656
1,-189.20582580566406,23,-160.6525115966797
1,-189.20582580566406,24,-160.34922790527344
1,-189.20582580566406,25,-160.10743713378906
1,-189.20582580566406,26,-160.3490753173828
1,-189.20582580566406,27,-158.28372192382812
1,-189.20582580566406,28,-161.28878784179688
1,-189.20582580566406,29,-160.88356018066406
1,-189.20582580566406,30,-159.81224060058594
1,-189.20582580566406,31,-158.67794799804688
1,-189.20582580566406,32,-158.53884887695312
1,-190.1202850341797,33,-159.60211181640625
1,-190.1202850341797,34,-161.2761993408203
1,-190.1202850341797,35,-159.68524169921875
1,-190.1202850341797,36,-160.18020629882812
1,-190.1202850341797,37,-161.19293212890625
1,-190.1202850341797,38,-162.93539428710938
1,-190.1202850341797,39,-161.8568572998047
1,-190.1202850341797,40,-163.9105682373047
1,-190.1202850341797,41,-161.64923095703125
1,-190.1202850341797,42,-162.3094024658203
1,-190.1202850341797,43,-163.22567749023438
1,-190.1202850341797,44,-164.8698272705078
1,-190.1202850341797,45,-164.4420623779297
1,-190.1202850341797,46,-164.1584014892578
1,-190.1202850341797,47,-162.83834838867188
1,-190.1202850341797,48,-163.5120086669922
1,-190.1202850341797,49,-164.61041259765625
1,-190.1202850341797,50,-165.0399932861328
1,-190.1202850341797,51,-164.2035369873047
1,-190.1202850341797,52,-163.36399841308594
1,-190.1202850341797,53,-162.9256134033203
1,-190.1202850341797,54,-161.62852478027344
1,-190.1202850341797,55,-163.38552856445312
1,-190.1370849609375,56,-162.67355346679688
1,-190.1370849609375,57,-162.42030334472656
1,-190.1370849609375,58,-162.1083984375
1,-190.1370849609375,59,-162.52694702148438
1,-190.1370849609375,60,-163.4879608154297
1,-190.1370849609375,61,-162.6742401123047
1,-190.1370849609375,62,-164.17312622070312
1,-190.1370849609375,63,-164.06948852539062
1,-190.1370849609375,64,-162.24986267089844
1,-190.1370849609375,65,-162.4557342529297
1,-190.1370849609375,66,-162.81959533691406
1,-190.1370849609375,67,-162.37510681152344
1,-190.1370849609375,68,-161.26010131835938
1,-190.1370849609375,69,-161.04388427734375
1,-190.1370849609375,70,-160.87750244140625
1,-190.1370849609375,71,-160.96238708496094
1,-190.1370849609375,72,-163.02635192871094
1,-190.1370849609375,73,-162.05734252929688
1,-190.1370849609375,74,-162.34091186523438
1,-190.1370849609375,75,-161.7762908935547
1,-190.1370849609375,76,-160.77093505859375
1,-190.1370849609375,77,-162.95986938476562
1,-190.1370849609375,78,-161.66236877441406
1,-190.1370849609375,79,-162.27783203125
1,-190.1370849609375,80,-160.61695861816406
1,-190.1370849609375,81,-161.91848754882812
1,-190.1370849609375,82,-162.18394470214844
1,-190.1370849609375,83,-162.2460174560547
1,-190.1370849609375,84,-163.5426788330078
1,-190.1370849609375,85,-162.34429931640625
1,-190.1370849609375,86,-162.62725830078125
1,-190.1370849609375,87,-160.86912536621094
1,-190.1370849609375,88,-160.24691772460938
1,-190.1370849609375,89,-161.28038024902344
1,-190.1370849609375,90,-162.62228393554688
1,-190.1370849609375,91,-162.07406616210938
1,-190.1370849609375,92,-162.30844116210938
1,-190.1370849609375,93,-162.17030334472656
1,-190.1370849609375,94,-162.8127899169922
1,-190.1370849609375,95,-163.62911987304688
1,-190.1370849609375,96,-162.85096740722656
1,-190.1370849609375,97,-162.9631805419922
1,-190.1370849609375,98,-163.45550537109375
1,-190.1370849609375,99,-162.71627807617188
2,-159.75784301757812,0,-16.92022705078125
