seed,best_fitness,generation,mean_fitness,std_fitness
1,0.999,0,1.099,0.05
1,0.997,1,1.097,0.05
1,0.994,2,1.094,0.05
1,0.99,3,1.09,0.05
1,0.985,4,1.085,0.05
1,0.979,5,1.079,0.05
1,0.972,6,1.072,0.05
1,0.964,7,1.064,0.05
1,0.955,8,1.055,0.05
1,0.945,9,1.045,0.05
1,0.9339999999999999,10,1.034,0.05
1,0.9219999999999999,11,1.022,0.05
1,0.9089999999999999,12,1.009,0.05
1,0.8949999999999999,13,0.9949999999999999,0.05
1,0.8799999999999999,14,0.9799999999999999,0.05
1,0.8639999999999999,15,0.9639999999999999,0.05
1,0.8469999999999999,16,0.9469999999999998,0.05
1,0.8289999999999998,17,0.9289999999999998,0.05
1,0.8099999999999998,18,0.9099999999999998,0.05
1,0.7899999999999998,19,0.8899999999999998,0.05
1,0.7689999999999998,20,0.8689999999999998,0.05
1,0.7469999999999998,21,0.8469999999999998,0.05
1,0.7239999999999998,22,0.8239999999999997,0.05
1,0.6999999999999997,23,0.7999999999999997,0.05
1,0.6749999999999997,24,0.7749999999999997,0.05
1,0.6489999999999997,25,0.7489999999999997,0.05
1,0.6219999999999997,26,0.7219999999999996,0.05
1,0.5939999999999996,27,0.6939999999999996,0.05
1,0.5649999999999996,28,0.6649999999999996,0.05
1,0.5349999999999996,29,0.6349999999999996,0.05
1,0.5039999999999996,30,0.6039999999999995,0.05
1,0.47199999999999953,31,0.5719999999999995,0.05
1,0.4389999999999995,32,0.5389999999999995,0.05
1,0.40499999999999947,33,0.5049999999999994,0.05
1,0.36999999999999944,34,0.4699999999999994,0.05
1,0.3339999999999994,35,0.4339999999999994,0.05
1,0.2969999999999994,36,0.39699999999999935,0.05
1,0.25899999999999934,37,0.3589999999999993,0.05
1,0.21999999999999933,38,0.31999999999999934,0.05
1,0.17999999999999933,39,0.27999999999999936,0.05
1,0.13899999999999932,40,0.23899999999999932,0.05
1,0.09699999999999931,41,0.19699999999999931,0.05
1,0.05399999999999931,42,0.1539999999999993,0.05
1,0.009999999999999308,43,0.10999999999999932,0.05
1,-0.03500000000000069,44,0.06499999999999931,0.05
1,-0.0810000000000007,45,0.01899999999999931,0.05
1,-0.1280000000000007,46,-0.02800000000000069,0.05
